縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,中寮鄉,中古屋,10270.0,1,106年第一季
南投縣,南投市,中古屋,32428.43,103,106年第一季
南投縣,南投市,新成屋,66604.23,30,106年第一季
南投縣,名間鄉,中古屋,29887.0,3,106年第一季
南投縣,國姓鄉,中古屋,23053.17,6,106年第一季
南投縣,國姓鄉,新成屋,32879.0,1,106年第一季
南投縣,埔里鎮,中古屋,32104.3,61,106年第一季
南投縣,埔里鎮,新成屋,56978.75,12,106年第一季
南投縣,水里鄉,中古屋,25927.2,5,106年第一季
南投縣,竹山鎮,中古屋,21583.77,44,106年第一季
南投縣,竹山鎮,新成屋,38352.5,6,106年第一季
南投縣,草屯鎮,中古屋,30457.9,100,106年第一季
南投縣,草屯鎮,新成屋,54911.44,36,106年第一季
南投縣,集集鎮,中古屋,53217.4,5,106年第一季
南投縣,鹿谷鄉,中古屋,21650.6,5,106年第一季
台中市,中區,中古屋,35460.78,32,106年第一季
台中市,中區,新成屋,68594.5,4,106年第一季
台中市,北區,中古屋,42723.45,915,106年第一季
台中市,北區,新成屋,77465.82,28,106年第一季
台中市,北屯區,中古屋,43544.04,1152,106年第一季
台中市,北屯區,新成屋,61044.51,529,106年第一季
台中市,南區,中古屋,40480.78,734,106年第一季
台中市,南區,新成屋,68966.67,548,106年第一季
台中市,南屯區,中古屋,54469.5,698,106年第一季
台中市,南屯區,新成屋,76864.63,193,106年第一季
台中市,后里區,中古屋,36918.5,14,106年第一季
台中市,后里區,新成屋,55700.75,4,106年第一季
台中市,外埔區,中古屋,30965.43,7,106年第一季
台中市,大安區,中古屋,26646.5,2,106年第一季
台中市,大甲區,中古屋,35847.52,44,106年第一季
台中市,大甲區,新成屋,48224.53,17,106年第一季
台中市,大肚區,中古屋,38439.47,30,106年第一季
台中市,大肚區,新成屋,58418.56,18,106年第一季
台中市,大里區,中古屋,41785.03,304,106年第一季
台中市,大里區,新成屋,65781.12,85,106年第一季
台中市,大雅區,中古屋,42691.39,114,106年第一季
台中市,大雅區,新成屋,60011.76,25,106年第一季
台中市,太平區,中古屋,39339.45,349,106年第一季
台中市,太平區,新成屋,55438.62,156,106年第一季
台中市,新社區,中古屋,23979.0,5,106年第一季
台中市,東勢區,中古屋,32832.08,39,106年第一季
台中市,東勢區,新成屋,52049.17,6,106年第一季
台中市,東區,中古屋,44205.28,198,106年第一季
台中市,東區,新成屋,58737.45,155,106年第一季
台中市,梧棲區,中古屋,28447.71,48,106年第一季
台中市,梧棲區,新成屋,51970.99,75,106年第一季
台中市,沙鹿區,中古屋,41473.46,145,106年第一季
台中市,沙鹿區,新成屋,56648.57,161,106年第一季
台中市,清水區,中古屋,27128.41,51,106年第一季
台中市,清水區,新成屋,50093.56,43,106年第一季
台中市,潭子區,中古屋,43126.14,274,106年第一季
台中市,潭子區,新成屋,58256.95,20,106年第一季
台中市,烏日區,中古屋,40790.49,59,106年第一季
台中市,烏日區,新成屋,49102.2,90,106年第一季
台中市,石岡區,中古屋,30528.0,1,106年第一季
台中市,神岡區,中古屋,39565.87,52,106年第一季
台中市,神岡區,新成屋,54190.2,5,106年第一季
