標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
讚啦！近泰和國小四房平車太子哈佛華廈,彰化縣彰化市泰和中街,25.0年,大樓,56.6,35.07,4房2廳2衛,6樓/14樓,坡道平面車位,1,9430UP,2025-10-01 09:30:45
近大成學區●平車三房太子哈佛華廈,彰化縣彰化市泰和中街,25.0年,大樓,49.56,30.13,3房2廳2衛,9樓/14樓,坡道平面車位,1,4500RB,2025-10-01 09:30:45
森活首選∣質感宅降價釋出太子森活,彰化縣彰化市辭修北路,17.2年,大樓,45.94,27.3,3房2廳2衛,6樓/11樓,坡道平面車位,1,3293ZH,2025-10-01 09:30:45
專任！名門公爵四房平車名門公爵,彰化縣彰化市龍涎北路,33.2年,大樓,62.91,37.51,4房2廳2衛,1樓/12樓,坡道平面車位,1,6216LV,2025-10-01 09:30:45
讚！大埔商圈超值三房車位交響曲大廈,彰化縣彰化市埔陽街,29.8年,大樓,37.35,26.59,3房2廳2衛,5樓/12樓,坡道機械車位,838,1202RM,2025-10-01 09:30:45
家樂福森活圈★美三房平車太子森活,彰化縣彰化市金馬路二段,17.2年,大樓,49.42,30.37,3房2廳2衛,2樓/11樓,坡道平面車位,1,1356XZ,2025-10-01 09:30:45
海天稀有高樓層附平面車位海天,彰化縣彰化市金馬路一段,28.4年,大樓,45.86,30.37,3房2廳2衛,10樓/17樓,坡道平面車位,888,7474WG,2025-10-01 09:30:45
哈佛●驚艷成家２房太子哈佛華廈,彰化縣彰化市泰和中街,25.0年,大樓,30.98,23.91,2房2廳2衛,9樓/14樓,無車位,898,9423GX,2025-10-01 09:30:45
天生贏家三房車位,彰化縣彰化市線東路一段,31.3年,大樓,41.12,28.83,3房2廳2衛,11樓/14樓,坡道機械車位,638,2962RZ,2025-10-01 09:30:45
稀有！近彰基３房美公寓,彰化縣彰化市中山路二段,37.1年,公寓,41.59,36.29,3房2廳2衛,2樓/5樓,無車位,688,5789BD,2025-10-01 09:30:45
三民商圈３房附車位囍市,彰化縣彰化市中正路一段,29.3年,華廈,41.3,27.8,3房2廳2衛,2樓/10樓,坡道機械車位,950,2774GY,2025-10-01 09:30:45
陽光城市三房陽光城市,彰化縣彰化市中山路三段,29.7年,大樓,43.68,28.76,3房2廳2衛,6樓/14樓,無車位,838,2051GS,2025-10-01 09:30:45
泰和超值４房附平車,彰化縣彰化市建國東路,35.0年,華廈,49.98,35.12,4房2廳2衛,6樓/6樓,坡道平面車位,898,1600MC,2025-10-01 09:30:45
✶電梯美三房✶屋況典雅✶,彰化縣員林市莒光路,28.5年,大樓,32.59,22.7,3房2廳2衛,2樓/15樓,無車位,558,8985UR,2025-10-01 09:30:45
允將寓見花園金店面,彰化縣員林市員林大道五段,7.7年,店面,20.93,14.02,1廳1衛,1樓/15樓,無車位,900,38253Z,2025-10-01 09:30:45
近家樂福★低樓３房附車位歐堡,彰化縣彰化市辭修北路,34.2年,華廈,43.95,33.55,3房2廳2衛,2樓/9樓,坡道機械車位,898,1872YR,2025-10-01 09:30:45
中正峯華三房平車,彰化縣彰化市中正路一段,0.9年,大樓,56.63,32.23,3房2廳2衛(含加蓋1廳1衛),11樓/15樓,坡道平面車位,2,8125CQ,2025-10-01 09:30:45
中山富域｜質感新成屋２房,彰化縣彰化市瑞陽街,0.4年,大樓,30.8,17.45,2房1廳1衛,7樓/15樓,坡道機械車位,1,5881VU,2025-10-01 09:30:45
龍寶臻邸｜近商圈三房平車龍寶臻邸華廈,彰化縣彰化市中山路一段,31.2年,大樓,48.4,32.26,3房2廳2衛,11樓/13樓,坡道平面車位,1,0554GW,2025-10-01 09:30:45
大埔商圈！高樓層視野三房,彰化縣彰化市瑞陽街,0.4年,大樓,38.9,22.89,3房2廳2衛,15樓/15樓,坡道機械車位,1,5799VG,2025-10-01 09:30:45
中山富域★精美兩房附車位,彰化縣彰化市瑞陽街,0.4年,大樓,31.08,17.63,2房2廳1衛,6樓/15樓,坡道機械車位,1,7923JL,2025-10-01 09:30:52
彰化稀有！套房華廈超級讚桂林園,彰化縣彰化市金馬路三段,32.0年,華廈,18.31,11.32,1房1廳1衛,9樓/10樓,無車位,368,8525XX,2025-10-01 09:30:52
泉宇大隱３房,彰化縣彰化市建國北路,1.8年,大樓,49.43,27,3房2廳2衛,3樓/15樓,坡道平面車位,1,5168JY,2025-10-01 09:30:52
大埔商圈三面採光優質三房交響曲大廈,彰化縣彰化市埔陽街,29.8年,大樓,37.93,25.2,3房2廳2衛,1樓/12樓,坡道機械車位,868,6477RY,2025-10-01 09:30:52
雅國天地三房車位雅國天地,彰化縣彰化市天祥路,30.1年,華廈,41.85,29.85,3房2廳2衛,3樓/8樓,坡道機械車位,888,6624UJ,2025-10-01 09:30:52
專任金馬附車位金馬大鎮2,彰化縣彰化市金馬路三段,31.2年,大樓,50.74,42.24,3房2廳2衛,5樓/13樓,坡道機械車位,1,0696CD,2025-10-01 09:30:52
海天美三房海天,彰化縣彰化市金馬路一段,28.4年,大樓,31.23,23.73,3房2廳2衛,5樓/17樓,無車位,678,8073PB,2025-10-01 09:30:52
近彰泰國中靚美三房好便利英明華廈,彰化縣彰化市自強路,32.2年,華廈,40.59,31.4,3房2廳2衛,3樓/7樓,無車位,938,6016LJ,2025-10-01 09:30:52
大埔景觀四房附車位讚皇家漢宮,彰化縣彰化市介壽北路,33.9年,華廈,45.18,34.66,4房2廳2衛,3樓/7樓,坡道機械車位,898,8532PQ,2025-10-01 09:30:52
太子森活精美裝潢附平車太子森活,彰化縣彰化市金馬路二段,17.2年,大樓,48.08,28.97,2房2廳2衛,9樓/11樓,坡道平面車位,1,3341SQ,2025-10-01 09:30:52
太極新村四房平車美廈太極新村,彰化縣彰化市太極新村,16.1年,華廈,62.28,38.27,4房1廳2衛,5樓/7樓,坡道平面車位,1,3837FU,2025-10-01 09:30:52
前庭後院！寬敞三房附平車陽明世紀,彰化縣彰化市三福街,31.8年,華廈,54.46,34.64,3房2廳2衛,1樓/10樓,坡道平面車位,1,8359ZH,2025-10-01 09:30:52
金馬商圈★三房附機上車位金馬大鎮1,彰化縣彰化市金馬路三段,31.3年,大樓,35.47,27.77,3房2廳2衛,3樓/13樓,坡道機械車位,698,0595BW,2025-10-01 09:30:52
頂層視野龍家族３房附車位,彰化縣彰化市天祥路,32.2年,大樓,36.31,29.81,3房2廳2衛,12樓/12樓,坡道機械車位,768,9764AU,2025-10-01 09:30:52
正市中心曉陽桂冠４房曉楊桂冠,彰化縣彰化市曉陽路,27.3年,大樓,51.86,36.11,4房2廳2衛,13樓/14樓,坡道機械車位,1,9466SW,2025-10-01 09:30:52
大埔機能佳優質四房附車位山水雅集,彰化縣彰化市大埔路,35.4年,華廈,47.13,34.49,4房2廳2衛,6樓/9樓,坡道平面車位,1,8661JX,2025-10-01 09:30:52
彰師大龍山林高樓三房裝潢龍山林,彰化縣彰化市中山路二段,28.4年,大樓,37.96,27.84,3房2廳2衛,7樓/11樓,坡道機械車位,938,6353CW,2025-10-01 09:30:52
彰美商圈！３房附車位讚傑廣生活家,彰化縣和美鎮彰美路一段,28.7年,華廈,34.87,24.81,3房2廳2衛,3樓/9樓,坡道機械車位,768,1771PH,2025-10-01 09:30:52
彰安平和好平房,彰化縣彰化市中正路二段,59.2年,透天,17.39,17.39,2房2廳1.5衛,1-1樓/1樓,無車位,698,7792UK,2025-10-01 09:30:52
大埔商圈美三房交響曲大廈,彰化縣彰化市埔陽街,29.8年,大樓,41.87,30.9,3房2廳2衛,7樓/12樓,坡道機械車位,928,9700NV,2025-10-01 09:30:52
近彰師大三房有電梯讚師範國宅,彰化縣彰化市中山路三段,27.5年,大樓,24.42,19.24,3房2廳1衛,5樓/13樓,無車位,588,5037GT,2025-10-01 09:31:01
３房有電梯！正中山路大樓師範國宅,彰化縣彰化市中山路三段,27.5年,大樓,24.42,19.24,3房1廳1衛,6樓/13樓,無車位,588,6488MS,2025-10-01 09:31:01
和美時尚精緻２房附車位,彰化縣和美鎮彰美路六段,4.3年,大樓,28.17,16.98,2房2廳1衛,8樓/11樓,升降機械車位,798,1488SL,2025-10-01 09:31:01
大埔商圈水利會北歐美三房水利會,彰化縣彰化市大埔路,29.0年,華廈,45.93,34.53,3房2廳2衛,4樓/5樓,坡道機械車位,1,8264UC,2025-10-01 09:31:01
首選！近彰美路方正廠房,彰化縣和美鎮東安路,44.5年,廠房,49.91,45.68,4房6廳3衛(含加蓋2房3廳),1-3樓/3樓,無車位,1,9264ZJ,2025-10-01 09:31:01
曉陽路高樓層大三房平車曉楊桂冠,彰化縣彰化市曉陽路,27.3年,大樓,52.47,35.18,3房2廳2衛,13樓/14樓,坡道平面車位,1,1191DD,2025-10-01 09:31:01
南興富邸三房平車遼闊市景南興富邸,彰化縣彰化市南興街,27.5年,華廈,39.39,26.58,3房2廳2衛,7樓/7樓,坡道平面車位,1,9461YP,2025-10-01 09:31:01
名人新世界三房輕裝宅名人新世界,彰化縣彰化市民族路,36.7年,華廈,41.88,41.88,3房2廳2衛,8樓/8樓,無車位,900,8024DL,2025-10-01 09:31:01
惠來美學佰悅３房平車,彰化縣和美鎮彰美路三段,0.9年,華廈,48.18,26.27,3房2廳2衛,4樓/10樓,坡道平面車位,1,5014WZ,2025-10-01 09:31:01
近延和公園美景房,彰化縣彰化市雲長路,1.1年,大樓,50.36,27.72,2房2廳2衛,6樓/11樓,坡道平面車位,1,6476FN,2025-10-01 09:31:01
