標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
布袋４房３衛透天厝,嘉義縣布袋鎮新西一街,32.3年,透天,34.31,34.31,4房2廳3衛(含加蓋2房1廳1衛),1-3樓/3樓,無車位,498,13033J,2025-09-28 12:37:58
嘉義番路旅館區土地,嘉義縣番路鄉新內甕段,,土地,5014.03,,,,無車位,40,8829CJ,2025-09-28 12:37:58
［專任］：水上大崙土地,嘉義縣水上鄉大崙段新興小段,,土地,96.16,,,,無車位,588,5647AL,2025-09-28 12:37:58
【新接】嘉義整棟千坪土地,嘉義縣中埔鄉中華路,27.0年,其它/土地,2622.5,1959.16,7廳,B1-7樓/7樓,無車位,78,0604UW,2025-09-28 12:37:58
嘉義番路遊樂區土地Ⅰ,嘉義縣番路鄉新內甕段,,土地,1281.56,,,,無車位,4,0514NF,2025-09-28 12:37:58
嘉義番路遊樂區土地Ⅱ,嘉義縣番路鄉新內甕段,,土地,1697.62,,,,無車位,5,3862JS,2025-09-28 12:37:58
嘉義番路遊樂區土地Ⅲ,嘉義縣番路鄉新內甕段,,土地,1269.67,,,,無車位,4,9337VP,2025-09-28 12:37:58
近水上交流道千坪土地,嘉義縣水上鄉大崙段重劃小段,,土地,1750.87,,,1樓/1樓,無車位,9,4105TB,2025-09-28 12:37:58
嘉義朴子溪旁美美農地Ａ,嘉義縣六腳鄉更寮段,,土地,1089.91,,,,無車位,200,6599UC,2025-09-28 12:37:58
嘉義朴仔溪旁美美農地Ｂ,嘉義縣六腳鄉更寮段,,土地,1090.21,,,,無車位,200,4031UZ,2025-09-28 12:37:58
大林透天優雅美景盡收眼底,嘉義縣大林鎮中興路二段,30.3年,透天,56.95,53.88,4房2廳3衛,1-3樓/3樓,無車位,1,7498RW,2025-09-28 12:37:58
花漾城市美好裝潢兩房,嘉義縣大林鎮民權路,2.5年,華廈,24.48,16.39,2房2廳1衛,2樓/7樓,無車位,750,1771BJ,2025-09-28 12:37:58
稀有傳家優質土地,嘉義縣水上鄉中庄段,,土地,23.94,,,1-1樓/1樓,無車位,240,1170ZH,2025-09-28 12:37:58
稀有乙建２５土地,嘉義縣東石鄉湖底段湖底小段,,土地,95.29,,,,無車位,960,8900WN,2025-09-28 12:37:58
金賀嘉義陽光明媚土地,嘉義縣溪口鄉坪頂段地號,,土地,508.54,,,,無車位,120,2255SZ,2025-09-28 12:37:58
稀有民雄３３９土地,嘉義縣民雄鄉秀林段,,土地,1248.87,,,,無車位,2,6055PS,2025-09-28 12:37:58
民雄３３７稀有土地,嘉義縣民雄鄉秀林段,,土地,1329.02,,,,無車位,2,86872R,2025-09-28 12:37:58
『嘉義』交流道大坪廠房,嘉義縣竹崎鄉五間厝,36.9年,廠房,492.42,465.95,6房3廳2衛(含加蓋4房1廳),B1-1樓/1樓,無車位,9,2944NY,2025-09-28 12:37:58
嘉義朴子住宅用地,嘉義縣朴子市內厝段,,土地,47.45,,,,無車位,308,45177N,2025-09-28 12:37:58
併排停車面寬質感美透,嘉義縣水上鄉崎子頭,43.3年,別墅/透天,33.22,32.14,3房3廳2衛,1-2樓/2樓,其他,1,4633RR,2025-09-28 12:37:58
水上人家·尚水の家,嘉義縣水上鄉溪仔底,31.4年,透天,36.94,34.19,4房2廳3衛(含加蓋2房),1-3樓/3樓,一樓平面車位,598,0495PM,2025-09-28 12:38:06
嘉義新港鄉土地誠售,嘉義縣新港鄉公園段,,土地,42.05,,,0樓/0樓,無車位,980,73276X,2025-09-28 12:38:06
布袋約３８０坪地,嘉義縣布袋鎮見龍段,,土地,379.97,,,,無車位,5,8392UW,2025-09-28 12:38:06
＊誠售＊嘉義大路寬角地,嘉義縣太保市過溝段過溝小段,,土地,672.16,,,,無車位,19,0475FL,2025-09-28 12:38:06
嘉義大砌美墅,嘉義縣中埔鄉頂山門,6.4年,別墅/透天,95.52,95.52,4房3廳5衛,1-4樓/4樓,無車位,2,9419JS,2025-09-28 12:38:06
都計內路旁優質農地,嘉義縣朴子市永和段,,土地,217.59,,,,無車位,1,8585XQ,2025-09-28 12:38:06
嘉義義竹便宜土地,嘉義縣義竹鄉過路子段過路小段,,土地,294.03,,2房3廳1衛(含加蓋2房3廳1衛),1-1樓/1樓,無車位,1,9775SN,2025-09-28 12:38:06
