標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
惠宇青雲買方喜歡誠意就談惠宇青雲,新竹市埔頂二路,13.8年,大樓,57.35,32.25,3房2廳2衛,12樓/15樓,坡道平面車位,3,2314YM,2025-09-20 11:11:26
清大鴻儒天下高樓層美３房鴻儒天下,新竹市建中一路,30.8年,大樓,51.75,32.13,3房2廳2衛,11樓/19樓,坡道機械車位,1,7845YN,2025-09-20 11:11:26
夢幻雲崗兩房平車雲崗,新竹市新莊街,15.1年,大樓,38.63,19.28,2房2廳1衛,7樓/14樓,坡道平面車位,2,7851GD,2025-09-20 11:11:26
品藏城市光譜美景三房城市光譜,新竹市新莊街,16.0年,大樓,48.2,26.47,3房2廳2衛,6樓/15樓,坡道平面車位,2,3611GJ,2025-09-20 11:11:26
富宇建設輕裝潢三房平車富宇權峰,新竹市慈雲路,9.7年,大樓,54.86,29.97,3房2廳2衛,10樓/28樓,坡道平面車位,3,3350JR,2025-09-20 11:11:26
獨賣頂級北歐視野４房北歐,新竹市關新路,16.2年,大樓,86,51.38,4房2廳2衛,12樓/15樓,兩個以上車位,4,5458DF,2025-09-20 11:11:26
首購市區成家公寓,新竹市南大路,46.2年,公寓,22.03,22.03,2房2廳1衛,4樓/5樓,無車位,598,4302LH,2025-09-20 11:11:26
工研巧築美美３房平車工研巧筑NO3,新竹市湳雅街,30.3年,華廈,39.97,27.66,3房2廳2衛,3樓/5樓,坡道平面車位,1,9718HS,2025-09-20 11:11:26
美學苑溫馨大三房平車美學苑,新竹市經國路二段,18.8年,大樓,42.31,25.6,3房2廳2衛,10樓/13樓,坡道平面車位,1,2871VP,2025-09-20 11:11:26
雲冠天下稀有三房平車雲冠天下,新竹市中央路,22.7年,大樓,43.31,29.23,3房2廳2衛,7樓/13樓,坡道平面車位,1,9163YS,2025-09-20 11:11:26
湳雅大魯閣機能三房附車位工研巧筑NO2,新竹市湳雅街,30.0年,華廈,39.7,25.76,3房2廳2衛,4樓/7樓,坡道平面車位,1,5969RW,2025-09-20 11:11:26
關埔精華區｜世界島大四房昌禾世界島,新竹市慈濟路,10.7年,大樓,80.46,41.32,4房2廳2衛,4樓/23樓,兩個以上車位,4,6088XU,2025-09-20 11:11:26
富春居視野採光好三房富春居,新竹市慈濟路,5.4年,大樓,50.67,24.98,3房2廳2衛,7樓/21樓,坡道平面車位,3,7726UX,2025-09-20 11:11:26
煙波Ａ１美裝潢三房煙波A1,新竹市華北路,11.9年,大樓,55.62,26.59,3房2廳2衛,2樓/12樓,坡道平面車位,2,9753HH,2025-09-20 11:11:26
近竹科大兩房採光裝潢美屋陽明采邑,新竹市光復路一段,31.8年,大樓,29.97,22.43,2房2廳2衛1室,4樓/12樓,無車位,1,0577YW,2025-09-20 11:11:26
文心匯稀有視野戶大車位文心匯,新竹市慈雲路,6.4年,大樓,49.74,25.28,3房2廳2衛,26樓/29樓,坡道平面車位,3,9225CZ,2025-09-20 11:11:26
⭐關埔～絕美夢想市四房夢想市,新竹市立鵬路,10.8年,大樓,52.83,31.41,4房2廳2衛,9樓/27樓,坡道平面車位,3,8928VZ,2025-09-20 11:11:26
東南溫馨美屋,新竹市東南街,45.6年,公寓,20.36,18.51,3房2廳1衛,5樓/5樓,無車位,588,1276DP,2025-09-20 11:11:26
近巨城敦煌４房車位視野戶敦煌,新竹市中央路,17.9年,大樓,81.98,47.21,4房2廳3衛,11樓/29樓,坡道平面車位,3,0451HJ,2025-09-20 11:11:26
