標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
出類拔萃擁抱大海您的角落,花蓮縣花蓮市北濱街,11.3年,透天,70.6,50.62,4房2廳5衛(含加蓋1房1衛),1-4樓/4樓,無車位,2,7880PW,2025-10-02 17:03:29
教科書等級＊建築設計理念,花蓮縣壽豐鄉月眉六段,9.0年,透天,152.71,144.16,8房2廳8衛,1-3樓/3樓,無車位,5,7864GR,2025-10-02 17:03:29
花蓮獨棟大庭院別墅,花蓮縣吉安鄉北安街,12.5年,透天,88.51,88.51,6房4廳10衛(含加蓋1房3廳6衛),1-4樓/4樓,無車位,4,68309L,2025-10-02 17:03:29
夢幻海景角地全棟大樓,花蓮縣花蓮市民權路,38.4年,其它,399.78,310.43,23房4廳24衛,B1-7樓/7樓,無車位,13,5558LS,2025-10-02 17:03:29
值得擁有漂亮臨路花蓮土地,花蓮縣鳳林鎮大智路,,土地,955.42,,,,無車位,660,88915S,2025-10-02 17:03:29
花蓮東華大學城計畫土地,花蓮縣壽豐鄉中華路三段,,土地,599.13,,,,無車位,1,7041AP,2025-10-02 17:03:29
看空拍花蓮吉安漂亮土地⭐,花蓮縣吉安鄉華興二街,,土地,946.3,,,,無車位,2,87192L,2025-10-02 17:03:29
推花蓮吉安漂亮土地Ａ⭐,花蓮縣吉安鄉華興二街,,土地,272.21,,,,無車位,680,5717RY,2025-10-02 17:03:29
空拍花蓮吉安漂亮土地Ｂ⭐,花蓮縣吉安鄉華興二街,,土地,337.06,,,,無車位,842,4195PF,2025-10-02 17:03:29
空拍花蓮吉安漂亮土地Ｃ⭐,花蓮縣吉安鄉華興二街,,土地,337.03,,,,無車位,842,73972Y,2025-10-02 17:03:29
花蓮濱海大片建地,花蓮縣壽豐鄉花東海岸公路,,土地,1003.09,,,,無車位,33,96163C,2025-10-02 17:03:29
雙邊臨路壽豐方正農場土地,花蓮縣壽豐鄉豐正路豐裡段,,土地,40253.47,,,,無車位,33,0174AA,2025-10-02 17:03:29
花蓮中山路方正建地,花蓮縣新城鄉中山路,,土地,1368.41,,,,無車位,16,62303H,2025-10-02 17:03:29
花蓮近車站獨棟透天,花蓮縣花蓮市國聯一路,43.1年,店面/透天,270.47,190.63,14房1廳14衛2室(含加蓋3房),B1-4樓/4樓,無車位,7,0989HD,2025-10-02 17:03:29
花蓮富里４７１６坪大地主,花蓮縣富里鄉永安街,,土地,4716.28,,,0樓/0樓,無車位,850,1232SN,2025-10-02 17:03:29
近花蓮車站精華地段透天,花蓮縣花蓮市國聯四路,11.1年,別墅/透天,441.34,383.27,18房4廳22衛7室,1-5樓/5樓,兩個以上車位,23,8847SF,2025-10-02 17:03:29
北濱面寬青旅透天,花蓮縣花蓮市北濱街,36.1年,透天/店面,83.47,76.15,7房2廳5衛,1-3樓/3樓,無車位,1,31514C,2025-10-02 17:03:29
花蓮正民國路金鑽角窗店面,花蓮縣花蓮市民國路,38.4年,店面,97.18,68.04,8廳3衛1室(含加蓋1衛),1-2樓/9樓,無車位,4,0140LU,2025-10-02 17:03:29
花蓮市小資創業成功金店,花蓮縣花蓮市民國路,38.4年,店面,36.84,26.87,4廳1衛(含加蓋1衛),1-2樓/9樓,無車位,1,1830CN,2025-10-02 17:03:29
花蓮市正民國路角間金店,花蓮縣花蓮市民國路,38.4年,店面,60.34,41.17,4廳2衛1室,1-2樓/9樓,無車位,2,3932VD,2025-10-02 17:03:29
花蓮吉安鄉獨棟黃金大店面,花蓮縣吉安鄉中華路二段,43.5年,店面,64.11,55.98,1廳3衛2室(含加蓋2衛),1-2樓/2樓,無車位,3,4790TU,2025-10-02 17:03:38
