標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
高檔裝潢公園首排三房平車樹禾苑,高雄市三民區美都路,2.2年,大樓,39.74,19.89,3房1廳1衛,7樓/24樓,坡道平面車位,1,3467QV,2025-10-01 15:19:12
楠梓近藍田公園三房車位金革景湛,高雄市楠梓區藍田路,14.8年,大樓,40.4,24.28,3房2廳2衛,10樓/14樓,坡道機械車位,1,9080PT,2025-10-01 15:19:12
農十六皇苑世紀館稀有景觀皇苑世紀館,高雄市鼓山區龍勝路,10.0年,大樓,149.39,87.9,3房2廳4衛,4樓/28樓,兩個以上車位,8,7851SX,2025-10-01 15:19:12
太子雲高樓裝潢二房平車太子雲C區-大樓...,高雄市仁武區霞海中街,6.9年,大樓,41.01,20.72,2房2廳1衛,12樓/13樓,坡道平面車位,1,1361VJ,2025-10-01 15:19:12
公園書香靜謐境配平車公園圖書館,高雄市前鎮區武慶一路,29.8年,華廈,52.08,34.26,3房2廳2衛,8樓/10樓,坡道平面車位,1,0617YF,2025-10-01 15:19:12
生活大亨三房車位學區宅生活大亨,高雄市左營區重愛路,26.5年,大樓,38.1,25.28,3房2廳2衛,6樓/14樓,坡道機械車位,988,74353M,2025-10-01 15:19:12
福懋精硯高樓寬敞雙平車福懋精硯,高雄市新興區五福二路,13.5年,大樓,94.61,55.29,3房2廳2衛,9樓/15樓,兩個以上車位,2,0509LU,2025-10-01 15:19:12
山海．捷運站旁四房雙車位美麗綻,高雄市新興區自立二路,9.3年,大樓,85.67,41.95,4房2廳2衛,14樓/15樓,兩個以上車位,2,18494E,2025-10-01 15:19:12
誠售美術館首排三房平車美術白天鵝,高雄市鼓山區美術東四路,2.0年,大樓,37.88,19.97,3房2廳2衛,10樓/24樓,坡道平面車位,1,6283SQ,2025-10-01 15:19:12
高科大前景觀四房平車聯上峰景,高雄市楠梓區卓越路,10.0年,大樓,56.67,31.46,4房2廳2衛,3樓/15樓,坡道平面車位,1,9503JB,2025-10-01 15:19:12
美術白天鵝裝潢高樓美屋美術白天鵝,高雄市鼓山區美術東四路,2.0年,大樓,37.89,19.99,2房2廳2衛,20樓/24樓,坡道平面車位,1,6123QB,2025-10-01 15:19:12
新光ＭＯＲＥ兩房精緻宅新光MORE,高雄市左營區大中二路,10.0年,大樓,24.42,16.36,2房2廳1衛,14樓/15樓,無車位,898,6170JJ,2025-10-01 15:19:12
輕奢．霞海高樓景觀宅侑城M+,高雄市左營區民族一路,5.8年,大樓,47.08,27.42,2房2廳2衛,13樓/24樓,坡道機械車位,1,5156WN,2025-10-01 15:19:12
近瑞豐國小面寬公寓一樓,高雄市鳳山區武營路,46.9年,公寓,27.18,27.18,2房2廳2衛1室(含加蓋1室),1樓/4樓,無車位,998,0357UF,2025-10-01 15:19:12
棋琴文蓮苑蓮潭景四房平車棋琴文蓮苑,高雄市左營區新莊一路,9.1年,大樓,59.8,32.98,4房2廳2衛,5樓/15樓,坡道平面車位,2,2675HD,2025-10-01 15:19:12
小資成家｜五甲１Ｆ美寓,高雄市鳳山區自強二路,42.6年,公寓/店面,13.66,13.66,3房1廳1衛(含加蓋1房1衛),1樓/5樓,無車位,638,8023VZ,2025-10-01 15:19:12
文橫二路多功能空間,高雄市新興區文橫二路,40.3年,辦公/華廈,22.39,22.39,2廳1衛(含加蓋1廳),-1樓/7樓,無車位,680,7527NN,2025-10-01 15:19:12
忠勇新城三面採光四房忠勇新城,高雄市三民區鼎勇街,30.3年,華廈,47.94,36.25,4房2廳2衛,10樓/10樓,無車位,1,0499CG,2025-10-01 15:19:12
