標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
近三坑站美妝公寓二樓,基隆市仁愛區南榮路,48.4年,公寓,19.74,19.74,2房2廳1衛1室,2樓/5樓,無車位,520,5083KH,2025-10-02 03:12:39
夢幻山海景觀~三房＋車位,基隆市中正區觀海街,26.7年,大樓,49.82,30.86,3房2廳2衛1室,14樓/16樓,坡道平面車位,898,0092QL,2025-10-02 03:12:39
店長推薦綠葉美透天,基隆市七堵區綠葉街,26.3年,透天,79.68,46.7,3房3廳3衛,B1-5樓/5樓,其他,1,7524TW,2025-10-02 03:12:39
光華國宅低總價大三房,基隆市仁愛區成功一路,28.3年,大樓,50.99,33.18,3房2廳2衛,7樓/14樓,無車位,1,1734SH,2025-10-02 03:12:39
原美優質電梯四房雙車位,基隆市七堵區綠葉街,13.7年,華廈,76.83,33.55,4房2廳2衛,2樓/6樓,兩個以上車位,1,6880SR,2025-10-02 03:12:39
一層一戶低總價公寓,基隆市七堵區福一街,44.7年,公寓,29.13,29.13,2房2廳1衛,4樓/4樓,無車位,620,5742KC,2025-10-02 03:12:39
新橫濱兩房車位,基隆市中山區復興路,2.8年,大樓,33.19,15.54,2房2廳1衛,6樓/15樓,坡道平面車位,1,1540JN,2025-10-02 03:12:39
七堵車站黃金三樓美寓,基隆市七堵區自治街,40.3年,公寓,27.91,27.91,3房2廳1衛,3樓/5樓,無車位,898,0093KX,2025-10-02 03:12:39
精選採光電梯大四房,基隆市七堵區堵南街,31.6年,華廈,43.73,32.84,4房2廳2衛,7樓/10樓,無車位,1,6914BJ,2025-10-02 03:12:39
東信路邊間雅寓大空間,基隆市信義區東信路,46.3年,公寓,26.73,26.73,4房3廳2衛(含加蓋1房1廳1衛),2樓/4樓,無車位,498,5635XC,2025-10-02 03:12:39
暖暖優質景觀高樓美宅車位,基隆市暖暖區暖暖街,6.8年,華廈,58.08,30.93,4房2廳2衛,7樓/7樓,升降機械車位,1,1112UQ,2025-10-02 03:12:39
新豐溫馨１樓美寓,基隆市中正區新豐街,28.9年,公寓,32.15,22.03,3房2廳2衛,1樓/5樓,無車位,838,2226CT,2025-10-02 03:12:39
信義區掌上明珠旁孝親四房,基隆市信義區仁一路,31.8年,公寓,43.5,17.35,4房2廳2衛,B1-1樓/5樓,無車位,998,9238HM,2025-10-02 03:12:39
出價就談四面採光帝王露戶,基隆市信義區義六路,12.2年,大樓,151.16,94.33,4房2廳4衛1室,18樓/18樓,兩個以上車位,8,6328FS,2025-10-02 03:12:39
萬隆青田貴族美妝２房車位,基隆市七堵區福二街,8.7年,大樓,47.87,25.13,2房2廳1衛,10樓/15樓,坡道平面車位,1,8171PY,2025-10-02 03:12:39
中正路電梯經典２樓,基隆市中正區中正路,37.0年,辦公,33.7,30.81,3房2廳2衛,2樓/10樓,無車位,1,8502XH,2025-10-02 03:12:39
安樂區方正採光三房,基隆市安樂區樂利二街,26.7年,大樓,28.51,20.71,3房2廳1衛,11樓/13樓,無車位,758,1035JR,2025-10-02 03:12:39
基隆近百福車站輕井澤透天,基隆市七堵區長安街,14.5年,透天,75.04,71.27,4房3廳3衛1室,1-5樓/5樓,無車位,1,2955AU,2025-10-02 03:12:39
絕美海景公寓１樓,基隆市中山區中山二路,42.7年,公寓/套房,14.06,14.06,2房2廳2衛(含加蓋1衛),1樓/5樓,無車位,510,5895CC,2025-10-02 03:12:39
翡翠宮庭Ｂ,基隆市信義區深澳坑路,26.0年,公寓,30.87,29.68,2房2廳2衛,5樓/5樓,無車位,498,2652RT,2025-10-02 03:12:39
翡翠宮庭Ａ,基隆市信義區深澳坑路,26.0年,公寓,28.44,27.35,2房2廳2衛,5樓/5樓,無車位,430,6428LW,2025-10-02 03:12:48
基隆劉銘傳路市區四房上疊,基隆市仁愛區劉銘傳路,32.4年,公寓,35.43,30.66,4房4廳2衛1室(含加蓋2廳1室),3-4樓/4樓,無車位,858,1797CJ,2025-10-02 03:12:48
山嵐．朝霞．綠葉山莊,基隆市七堵區綠葉街,26.3年,透天,73.1,42.93,4房2廳5衛(含加蓋1房),B1-5樓/5樓,其他,1,1715DJ,2025-10-02 03:12:48
基隆喜市★首購首選,基隆市中山區中和路,28.4年,大樓,21.48,16.79,2房2廳2衛(含加蓋1房1廳),10樓/11樓,無車位,580,26160V,2025-10-02 03:12:48
基隆喜市。真心推薦,基隆市中山區中和路,28.4年,大樓,26.12,16.18,3房3廳2衛(含加蓋2房1廳),9樓/11樓,坡道機械車位,580,0103QY,2025-10-02 03:12:48
