標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
金門土地讚,金門縣金寧鄉林湖路,,土地,369.5,,,,無車位,1,9825BT,2025-10-02 20:18:45
溪邊大馬路旁農地,金門縣金湖鎮金湖鎮,,土地,490.2,,,0樓/0樓,無車位,1,YS90208HB,2025-10-02 20:18:45
溪邊農地1,金門縣金湖鎮金湖鎮,,土地,302.51,,,0樓/0樓,無車位,520,YS90209HB,2025-10-02 20:18:45
安岐集村農地,金門縣金寧鄉金寧鄉,,土地,432.03,,,0樓/0樓,無車位,1,YS93048HB,2025-10-02 20:18:45
西浦頭農地A,金門縣金寧鄉慈湖段,,土地,354.45,,,0樓/0樓,無車位,238,XS128035HB,2025-10-02 20:18:45
水頭悠靜建地,金門縣金城鎮前水頭測段,,土地,66.25,,,0樓/0樓,無車位,606,ZS193063HB,2025-10-02 20:18:45
金沙斗門步道旁美地,金門縣金沙鎮大山段,,土地,115.39,,,0樓/0樓,無車位,100,ZS195327HB,2025-10-02 20:18:45
新前墩建地,金門縣金沙鎮新前墩,,土地,183.77,,,0樓/0樓,無車位,1,YS113513HB,2025-10-02 20:18:45
金城山前美農地,金門縣金城鎮山前,,土地,90.15,,,0樓/0樓,無車位,60,ZS192851HB,2025-10-02 20:18:45
金門海景公寓含車位,金門縣金城鎮金門城,0.7年,華廈,88.62,80.09,3房2廳2衛,4樓/0樓,無車位,838,ZB06430GH,2025-10-02 20:18:45
金大優質美地B,金門縣金寧鄉寧湖三劃段,,土地,302.5,,,0樓/0樓,無車位,1,XS118010HB,2025-10-02 20:18:45
金門歐厝歷史風貌用地,金門縣金城鎮歐厝村測段,,土地,123.44,,,0樓/0樓,無車位,1,CS176979HB,2025-10-02 20:18:45
金大側邊湖南農地,金門縣金寧鄉寧湖三劃段,,土地,302.5,,,0樓/0樓,無車位,850,ZS195056HB,2025-10-02 20:18:45
和平新村大透天,金門縣金城鎮庵前劃測,25.7年,別墅/透天,89.04,85.72,6房3廳4衛,-1-4樓/0樓,無車位,1,XS108160HB,2025-10-02 20:18:45
金大優質美地A,金門縣金寧鄉寧湖三劃,,土地,302.5,,,0樓/0樓,無車位,998,XS118002HB,2025-10-02 20:18:45
赤岑段農地,金門縣金寧鄉赤岑段,,土地,232.08,,,0樓/0樓,無車位,155,ZS195336HB,2025-10-02 20:18:45
金沙后江灣美景農地,金門縣金沙鎮中蘭,,土地,240.79,,,0樓/0樓,無車位,450,XS127221HB,2025-10-02 20:18:45
