標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
旭正紅豆面公園全新三房車,苗栗縣竹南鎮大埔五街,0.7年,華廈,29.46,19.66,3房2廳2衛,4樓/5樓,一樓平面車位,1,9572UG,2025-10-03 08:17:42
博愛街水水三房,苗栗縣竹南鎮博愛街,28.8年,大樓,36.54,27.98,3房2廳2衛,8樓/20樓,無車位,998,3435NJ,2025-10-03 08:17:42
近照南國中二房平面車位,苗栗縣竹南鎮民安街,1.7年,華廈,27.13,18.19,2房2廳1衛,3樓/5樓,一樓平面車位,1,3856UH,2025-10-03 08:17:42
品未來３次頂樓採光美居,苗栗縣頭份市維新路,9.5年,大樓,45.04,30.15,2房2廳2衛,14樓/15樓,坡道機械車位,1,2906GW,2025-10-03 08:17:42
昌隆好境朝外三房,苗栗縣頭份市富強二街,6.2年,大樓,49.48,25.73,3房2廳2衛,4樓/14樓,坡道平面車位,1,1307YQ,2025-10-03 08:17:42
昌隆上禾旺高樓兩房兩衛浴,苗栗縣頭份市昌隆一街,0.9年,大樓,34.51,17.26,2房2廳2衛,11樓/15樓,坡道平面車位,1,7407FW,2025-10-03 08:17:42
科技新貴曜境首馥１＋１,苗栗縣竹南鎮環市路三段,12.8年,大樓,53.42,34.14,1房2廳2衛1室,15樓/15樓,坡道平面車位,1,3142KU,2025-10-03 08:17:42
昌隆廣場上禾旺高樓三房,苗栗縣頭份市昌隆一街,0.9年,大樓,42.17,22.39,3房2廳2衛,12樓/15樓,坡道平面車位,1,3057PQ,2025-10-03 08:17:42
昕見築藝文公園區朝南景觀,苗栗縣頭份市公園一街,0.7年,大樓,39.61,20.36,3房2廳2衛,20樓/23樓,坡道平面車位,1,2946BT,2025-10-03 08:17:42
雲天樹海景觀未住過美屋,苗栗縣頭份市花園東路,8.8年,華廈,56.58,34.09,3房2廳2衛,5樓/7樓,坡道平面車位,1,0871VJ,2025-10-03 08:17:42
