標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
近埔里酒廠臨路透店,南投縣埔里鎮中山路三段,29.7年,店面/透天,60.43,52.17,5房3廳3衛(含加蓋2房1廳),1-3樓/3樓,無車位,1,3435YY,2025-10-01 10:42:49
南投埔里【松濤園】,南投縣埔里鎮水墻巷,31.3年,別墅/透天/土地,103.92,103.92,15房8廳14衛1室(含加蓋8房4廳8衛),1-2樓/2樓,無車位,6,2064TD,2025-10-01 10:42:49
誠售！國姓土地０．９５甲,南投縣國姓鄉國姓路,,土地,2807.2,,,,無車位,398,45616K,2025-10-01 10:42:49
埔里大地坪休憩空間,南投縣埔里鎮房里路,33.3年,別墅/透天,71.24,71.24,8房2廳8衛1室(含加蓋3房5衛1室),1-2樓/2樓,無車位,3,2714JD,2025-10-01 10:42:49
極品✪自地自建大地坪美墅,南投縣埔里鎮西安路三段,7.4年,透天,73.32,73.31,5房3廳6衛(含加蓋1衛),1-2樓/2樓,一樓平面車位,2,1206VP,2025-10-01 10:42:49
南投魚池鄉內池段土地,南投縣魚池鄉文武巷,,土地,512.09,,,,無車位,698,32919C,2025-10-01 10:42:49
成功大院雲隱山居松嶺天１,南投縣國姓鄉中興路,1.5年,透天,57.86,57.86,4房2廳5衛,1-3樓/3樓,無車位,1,5752LF,2025-10-01 10:42:49
成功大院雲隱山居松嶺天２,南投縣國姓鄉中興路,1.5年,透天,56.1,56.1,4房2廳5衛,1-3樓/3樓,無車位,1,6670FP,2025-10-01 10:42:49
成功大院雲隱山居松嶺天３,南投縣國姓鄉中興路,1.5年,透天,56.1,56.1,4房2廳5衛,1-3樓/3樓,無車位,1,0612NZ,2025-10-01 10:42:49
成功大院雲隱山居松嶺天５,南投縣國姓鄉中興路,1.5年,透天,56.1,56.1,4房2廳5衛,1-3樓/3樓,無車位,1,4928ZU,2025-10-01 10:42:49
成功大院雲隱山居松嶺天６,南投縣國姓鄉中興路,1.5年,透天,56.1,56.1,4房2廳5衛,1-3樓/3樓,無車位,1,9818RY,2025-10-01 10:42:49
成功大院雲隱山居松嶺天７,南投縣國姓鄉中興路,1.5年,透天,56.1,56.1,4房2廳5衛,1-3樓/3樓,無車位,1,8389YU,2025-10-01 10:42:49
成功大院雲隱山居松嶺天８,南投縣國姓鄉中興路,1.5年,透天,56.09,56.09,4房2廳5衛,1-3樓/3樓,無車位,1,2013KV,2025-10-01 10:42:49
成功大院雲隱山居松嶺天９,南投縣國姓鄉中興路,1.3年,透天,93.35,87.68,4房2廳4衛,1-4樓/4樓,無車位,2,4437RL,2025-10-01 10:42:49
