標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
澎湖★城北段方正土地,澎湖縣湖西鄉大城北,,土地,547.23,,,,無車位,1,53112X,2025-09-29 16:48:00
澎湖★城北段土地,澎湖縣湖西鄉城北段,,土地,191.85,,,,無車位,350,51168G,2025-09-29 16:48:00
『置產』外婆的澎湖土地,澎湖縣馬公市澎二六鄉道,,土地,352.65,,,,無車位,250,14728K,2025-09-29 16:48:00
澎湖便宜農地,澎湖縣湖西鄉良文港,,土地,217.86,,,,無車位,248,09728Z,2025-09-29 16:48:00
白坑吉祥農地2,澎湖縣湖西鄉白坑,,土地,190.56,,,0樓/0樓,無車位,140,LS42000HB,2025-09-29 16:48:00
文寮建地,澎湖縣馬公市文寮段,,土地,135.66,,,0樓/0樓,無車位,1,SS58236HB,2025-09-29 16:48:00
西嶼路邊農地,澎湖縣西嶼鄉二崁北,,土地,121.76,,,0樓/0樓,無車位,365,KS161811HB,2025-09-29 16:48:00
文石學區臨路透天屋,澎湖縣馬公市石泉,25.4年,別墅/透天,61.73,58.6,4房1廳3衛,1-3樓/0樓,無車位,1,SS63934HB,2025-09-29 16:48:00
五德西縣道旁農地,澎湖縣馬公市五德西段,,土地,378.49,,,0樓/0樓,無車位,1,PS91003HB,2025-09-29 16:48:00
澎湖西嶼臨路美農地,澎湖縣西嶼鄉池東村小池角,,土地,397.79,,,0樓/0樓,無車位,638,PS109381HB,2025-09-29 16:48:00
北辰店面透天屋,澎湖縣馬公市大智街,45.6年,別墅/透天,44.53,44.53,,1-4樓/0樓,無車位,950,PS65949HB,2025-09-29 16:48:00
澎湖大菓葉觀光商城,澎湖縣西嶼鄉大果葉,8.8年,別墅/透天,116.89,116.89,3房2廳6衛,1-2樓/0樓,無車位,4,PB03848GH,2025-09-29 16:48:00
東文大面寬中古透天,澎湖縣馬公市文山路,35.0年,別墅/透天,39.06,39.06,3房3廳2衛,1-2樓/0樓,無車位,818,SB04208GH,2025-09-29 16:48:00
西嶼國中旁農地,澎湖縣西嶼鄉池東段,,土地,220.74,,,0樓/0樓,無車位,264,SS60936HB,2025-09-29 16:48:00
潭邊近學校農地,澎湖縣湖西鄉潭邊新段,,土地,481.59,,,0樓/0樓,無車位,722,LS60498HB,2025-09-29 16:48:00
二崁北持分農地1,澎湖縣西嶼鄉二崁北段,,土地,178.04,,,0樓/0樓,無車位,89,SS60917HB,2025-09-29 16:48:00
菓葉臨學校農地,澎湖縣湖西鄉?葉新段,,土地,295.87,,,0樓/0樓,無車位,535,KS164123HB,2025-09-29 16:48:00
馬公別館商業建地,澎湖縣馬公市新生路,69.0年,別墅/透天,210.84,233.53,,1-2樓/0樓,無車位,13,SS55392HB,2025-09-29 16:48:00
前寮有路農地,澎湖縣馬公市雙湖段,,土地,249.77,,,0樓/0樓,無車位,1,SS56921HB,2025-09-29 16:48:00
北辰大店面透天,澎湖縣馬公市中華路,35.4年,別墅/透天,154.07,154.07,6房1廳4衛,1-4樓/0樓,無車位,7,SS63629HB,2025-09-29 16:48:00
烏崁如意農地5,澎湖縣馬公市烏崁,,土地,286.32,,,0樓/0樓,無車位,715,LS19645HB,2025-09-29 16:48:09
黃金商圈店住,澎湖縣馬公市光復路,34.0年,店面,157.2,157.2,16房1廳16衛,1-5樓/0樓,無車位,4,PS53938HB,2025-09-29 16:48:09
東衛美好農地,澎湖縣馬公市東衛段,,土地,138.41,,,0樓/0樓,無車位,484,SS60911HB,2025-09-29 16:48:09
澎湖~光復/六合/五福電梯店住,澎湖縣馬公市光復路,13.0年,別墅/透天,157.72,147.02,12房13衛,1-4樓/4樓,無車位,6,SB04408GH,2025-09-29 16:48:09
興崁農地數筆,澎湖縣馬公市興崁,,土地,137.94,,,0樓/0樓,無車位,231,SS53229HB,2025-09-29 16:48:09
成功街愛家透天,澎湖縣馬公市成功街,31.3年,別墅/透天,57.22,57.22,4房1廳2衛,1-5樓/0樓,無車位,1,SS64189HB,2025-09-29 16:48:09
國宅段農地,澎湖縣馬公市國宅段,,土地,375.47,,,0樓/0樓,無車位,675,KS158104HB,2025-09-29 16:48:09
澎湖湖西臨路農地,澎湖縣湖西鄉湖西,,土地,479.14,,,0樓/0樓,無車位,768,LS112874HB,2025-09-29 16:48:09
石泉好屋店面,澎湖縣馬公市石泉,34.8年,別墅/透天,25.92,25.92,3房1廳2衛,1-2樓/0樓,無車位,780,SS59752HB,2025-09-29 16:48:09
南寮好規劃美農地,澎湖縣湖西鄉南寮新段,,土地,701.32,,,0樓/0樓,無車位,1,SS61605HB,2025-09-29 16:48:09
風櫃近社區農地,澎湖縣馬公市風櫃西段,,土地,309.65,,,0樓/0樓,無車位,619,PS50137HB,2025-09-29 16:48:09
山水漂亮建地,澎湖縣馬公市山水南段,,土地,63.63,,,0樓/0樓,無車位,571,PS54148HB,2025-09-29 16:48:09
澎湖馬公300坪建地,澎湖縣馬公市民族路,,土地,302.2,,,0樓/0樓,無車位,15,GS118592HB,2025-09-29 16:48:09
近澎科大車庫別墅,澎湖縣馬公市六合路,4.9年,別墅/透天,78.01,71.29,6房2廳6衛,1-4樓/4樓,無車位,1,LS138770HB,2025-09-29 16:48:09
