標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
我的最愛大套房最愛,台南市安平區慶平路,30.0年,大樓,11.18,8.7,1房1廳1衛,10樓/13樓,無車位,269,7256PT,2025-09-28 12:58:43
太子建設｜面公園三房平車太子文化-大樓,台南市東區崇善五街,18.9年,大樓,41.11,26.3,3房2廳2衛,9樓/13樓,坡道平面車位,1,7769LP,2025-09-28 12:58:43
✦東區核心✦精美雙套房國家新境,台南市東區林森路一段,34.7年,大樓,22.76,17.63,2房2廳2衛,18樓/22樓,無車位,598,1285UF,2025-09-28 12:58:43
近東區｜優質裝潢四房美宅,台南市仁德區中正路二段,31.6年,華廈,57.39,44.11,4房2廳3衛,2樓/7樓,無車位,1,4376TG,2025-09-28 12:58:43
上東城｜質感景觀三房平車上東城II-東方...,台南市仁德區文心路,4.5年,大樓,41.56,22.76,3房2廳2衛,16樓/24樓,坡道平面車位,1,8038DT,2025-09-28 12:58:43
城心面中庭綠景兩房平車佳鋐城心,台南市南區興昌路,6.1年,大樓,39.57,19.67,2房2廳1衛,3樓/13樓,坡道平面車位,1,1639PC,2025-09-28 12:58:43
精忠新城高樓視野採光好精忠新村,台南市永康區中華路,18.5年,大樓,55.4,34.54,3房2廳2衛,10樓/14樓,坡道平面車位,1,0233WX,2025-09-28 12:58:43
府都領航天下大三房車位領航天下,台南市安平區慶平路,30.7年,大樓,79.67,52.1,3房2廳2衛1室,7樓/12樓,升降平面車位,1,0506UB,2025-09-28 12:58:43
北區高樓暖心三房雙車世紀之門,台南市北區北園街,17.8年,大樓,53.79,31.39,3房2廳2衛1室,13樓/19樓,兩個以上車位,1,6800AX,2025-09-28 12:58:43
北區精華電梯大三房車位新好國宅,台南市北區北園街,27.5年,大樓,38.85,28.07,3房2廳2衛,13樓/14樓,坡道機械車位,888,0387DW,2025-09-28 12:58:43
東都綠學｜景觀四房雙平車東都綠學,台南市仁德區崇聖路一段,1.0年,大樓,64.72,31.23,4房2廳2衛,9樓/14樓,兩個以上車位,2,2308SW,2025-09-28 12:58:43
長榮新城｜雙陽台風雅美居長榮新城B區,台南市北區長榮路五段,22.0年,大樓,51.19,33.19,3房2廳2衛,13樓/14樓,坡道平面車位,1,1214LM,2025-09-28 12:58:43
三房車位｜日光暖宅世紀之門,台南市北區北園街,17.8年,大樓,40.55,20.55,3房2廳1衛,13樓/19樓,坡道機械車位,1,4433CC,2025-09-28 12:58:43
高樓景觀三房平車位,台南市永康區正強街,31.4年,大樓,37.58,24.22,3房2廳2衛,11樓/14樓,坡道平面車位,798,24010H,2025-09-28 12:58:43
近成大質感兩房平車帝標,台南市東區崇仁街,18.1年,大樓,39.09,22.5,2房2廳2衛,2樓/14樓,坡道平面車位,1,0049HT,2025-09-28 12:58:43
和宜勝利高樓明亮兩房平車和宜勝利,台南市永康區勝利街,3.4年,大樓,39.61,17.69,2房2廳1衛,11樓/13樓,坡道平面車位,1,1225NQ,2025-09-28 12:58:43
近未來好市多全新兩房車位松丹達麗,台南市東區崇慶街一段,1.1年,大樓,25.43,13.67,2房2廳1衛,13樓/15樓,坡道機械車位,1,4223NX,2025-09-28 12:58:43
南科新市採光佳三房車位,台南市新市區光明街,3.7年,華廈,34,22.66,3房2廳2衛,5樓/7樓,其他,1,6387PZ,2025-09-28 12:58:43
近南一中成大明亮三房平車成大學廬戊區,台南市東區東寧路,28.7年,大樓,46.01,29.63,3房2廳2衛,5樓/15樓,坡道平面車位,1,2827CQ,2025-09-28 12:58:43
上東城｜面泳池溫馨的兩房上東城II-東方...,台南市仁德區文心路,4.5年,大樓,26.54,16.51,2房2廳1衛,3樓/24樓,無車位,728,9519AH,2025-09-28 12:58:43
京城鳳凰｜木質景觀平車宅京城鳳凰,台南市永康區中華路,13.1年,大樓,44.8,26.45,1房2廳2衛,13樓/19樓,坡道平面車位,1,0841UC,2025-09-28 12:58:53
近成大景觀３房含車位金碧輝煌,台南市永康區勝利街,31.0年,大樓,46.56,31.8,3房2廳2衛1室,13樓/14樓,坡道機械車位,1,5178ZU,2025-09-28 12:58:53
永安一方小資兩房平車永安一方NO.1,台南市永康區永安一街,7.7年,大樓,35.43,17,2房1廳1衛,3樓/12樓,坡道平面車位,1,3786ZV,2025-09-28 12:58:53
北區電梯兩房｜成功大學,台南市北區開元路,34.5年,華廈,25.06,18.91,2房2廳1衛,3樓/7樓,無車位,528,5712WU,2025-09-28 12:58:53
長億城珍藏３房平車長億城,台南市永康區大橋一街,26.1年,大樓,45.98,28.28,3房2廳2衛,12樓/14樓,坡道平面車位,1,1414NW,2025-09-28 12:58:53
夢世代｜遠眺絕美平車美居,台南市永康區忠孝一路,1.7年,大樓,31.76,15.42,1房2廳1衛1室,14樓/14樓,坡道平面車位,1,7497DU,2025-09-28 12:58:53
自住系列珍藏釋出３房平車大林國宅,台南市南區大同路二段,26.0年,大樓,45.19,29.15,3房2廳2衛1室,7樓/13樓,坡道平面車位,898,9751SU,2025-09-28 12:58:53
建興學區三房公寓,台南市中西區大同路一段,40.9年,公寓,30.27,26.82,3房2廳2衛,5樓/5樓,無車位,538,5296AP,2025-09-28 12:58:53
香榭，質感暖心三房平車新悅城-香榭區,台南市安平區健康路三段,8.9年,大樓,47.53,24.61,3房2廳2衛,22樓/27樓,坡道平面車位,1,83808E,2025-09-28 12:58:53
捷市悅高樓層景觀兩房車位,台南市關廟區北新一街,1.9年,華廈,27.29,16.63,2房2廳1衛,10樓/10樓,坡道機械車位,728,90081H,2025-09-28 12:58:53
御鼎雙璽｜高樓景觀雙車宅御鼎雙璽,台南市北區西門路三段,16.1年,大樓,80.52,45.65,4房2廳2衛,11樓/19樓,兩個以上車位,2,59982D,2025-09-28 12:58:53
愛琴海海景高樓兩房平車,台南市安平區國平北路,0.5年,大樓,31.96,15.32,2房2廳1衛,15樓/34樓,坡道平面車位,1,1856ZV,2025-09-28 12:58:53
森林故鄉二房首選南紡森林故鄉-A...,台南市安南區郡安路四段,31.3年,大樓,20.98,17.02,2房2廳1衛,6樓/11樓,無車位,568,6151QR,2025-09-28 12:58:53
大橋面公園高樓三房長億城,台南市永康區中華西街,26.1年,大樓,23.08,18.16,3房2廳1衛,14樓/14樓,無車位,688,1353TN,2025-09-28 12:58:53
鑫左岸．霸景平車戶,台南市中西區永華路一段,4.2年,大樓,45.17,21.28,2廳2衛,19樓/19樓,坡道平面車位,1,5904PJ,2025-09-28 12:58:53
仁德精華地段兩房,台南市仁德區中山路,27.1年,大樓,31.1,23.89,2房2廳2衛,7樓/14樓,無車位,598,3391JP,2025-09-28 12:58:53
安平次頂樓閱讀左岸２房閱讀左岸,台南市安平區國平路,19.5年,大樓,27.62,20.47,2房2廳2衛,13樓/14樓,無車位,798,8862BP,2025-09-28 12:58:53
佳和家郃｜溫馨兩房車位宅佳和家郃,台南市永康區中華二路,29.4年,大樓,25.94,17.04,2房1廳1衛,10樓/16樓,坡道機械車位,688,5763TR,2025-09-28 12:58:53
