標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號
澤暘松江,台北市中山區松江路,預售,大樓,13.99,8.82,1房1廳1衛,5樓/15樓,無車位,2207,63654D
澤暘松江邊間三房,台北市中山區松江路,預售,大樓,27.64,17.42,3房2廳2衛,10樓/15樓,其他,4654,86581X
將捷旅境．－真境,台北市文山區木柵路二段,預售,大樓,29.86,19.53,2房2廳1衛,18樓/22樓,無車位,2976,5492RR
將捷旅境．－真境,台北市文山區木柵路二段,預售,大樓,36.27,23.73,3房2廳2衛,8樓/22樓,無車位,3592,80689A
商三◆民權西三房美寓,台北市中山區天祥路,59.7年,公寓,25.1,25.1,3房2廳1衛,3樓/4樓,無車位,1998,9767QH
近美麗華雙併名宅三房大戶詠大直,台北市內湖區文湖街,10.0年,大樓,110.04,58.17,3房2廳2衛,6樓/11樓,兩個以上車位,6980,1082CC
大直純住區：國美大真國美大真,台北市中山區樂群二路,10.8年,大樓,178.74,89.57,3房2廳4衛2室,6樓/11樓,兩個以上車位,26000,31346D
【ＶＲ】敦南如意兩房車位敦南如意,台北市文山區興隆路二段,28.3年,大樓,35.47,19.28,2房2廳1衛,9樓/11樓,坡道平面車位,2231,9225UP
前港公園明亮美寓,台北市士林區華齡街,41.5年,公寓,37.19,36.24,3房3廳2衛(含加蓋1廳),5樓/5樓,無車位,1990,1732VP
慈安首璽高樓誠意出售慈安首璽,台北市萬華區中華路二段,13.3年,大樓,52.88,31.39,3房2廳2衛,7樓/14樓,坡道平面車位,3950,32672T
鄉林大器溫泉三房雙車位,台北市北投區溫泉路,11.5年,華廈,91.69,43.65,3房2廳2衛2室,2樓/5樓,兩個以上車位,5988,7752WP
專任－花園１樓裝潢面中庭松山新城乙標第十...,台北市松山區健康路,23.4年,大樓,41.44,24.64,3房2廳1衛,1樓/18樓,無車位,3998,5327KQ
好案新接石牌靜巷三房稀有,台北市北投區東陽街,49.3年,公寓,27.63,27.63,3房2廳1衛,3樓/4樓,無車位,1980,4066HT
東區精緻雙捷面公園美兩房萬象大廈,台北市大安區復興南路一段,43.8年,大樓,26.77,20.7,2房2廳1衛,5樓/12樓,無車位,2288,7235VG
三面採光●近捷運邊間三房,台北市大安區安居街,41.8年,公寓,35.97,35.03,3房2廳2衛,3樓/5樓,無車位,2588,6111LS
北投昇陽明薇閣家長首選昇陽明,台北市北投區光明路,14.4年,大樓,57.27,32.9,4房2廳3衛,13樓/14樓,兩個以上車位,4200,6909NZ
麗湖學區高樓山景美屋佛羅倫斯,台北市內湖區金湖路,26.5年,華廈,14.65,10.75,1房1廳1衛,10樓/10樓,無車位,1758,6177XU
政大黃金三樓稀有釋出,台北市文山區指南路二段,49.8年,公寓,32.42,32.42,3房2廳1衛,3樓/4樓,無車位,1368,0782PT
大直明水路住宅露臺戶銘家,台北市中山區明水路,31.8年,大樓,48.45,30.78,2房2廳2衛,2樓/15樓,無車位,4988,3202NH
天東新光全新三房車位,台北市士林區天母東路,1.4年,大樓,44.25,26.23,3房2廳2衛,4樓/12樓,塔式車位,4288,6821RB
微風商圈．靜巷美寓邸,台北市中山區遼寧街,42.6年,公寓,42.31,39.14,4房2廳2衛,5樓/5樓,無車位,2980,0239ZY
中山區一層一戶邊間美宅,台北市中山區農安街,41.9年,公寓,36.22,36.22,4房2廳2衛,4樓/5樓,無車位,2580,9169CF
⭐邊間興隆三房美宅,台北市文山區興隆路二段,46.6年,公寓,27.59,27.59,3房2廳1衛,3樓/5樓,無車位,1750,3514WT
面公園綠景電梯三房,台北市信義區和平東路三段,44.6年,華廈,23.68,23.68,3房2廳1衛,3樓/7樓,無車位,2626,1817CD
木柵低總價三房成家首選,台北市文山區興隆路四段,47.7年,公寓,22.42,22.42,3房2廳1衛,4樓/5樓,無車位,1135,9674DW
稀有【芸廬】１樓大空間芸廬,台北市大安區基隆路二段,32.6年,大樓,50.21,30.81,3房2廳2衛,1樓/12樓,無車位,4580,6917MQ
採光河景陽台電梯房新象大樓,台北市萬華區西園路二段,42.5年,大樓/辦公,15.89,13.29,1房1廳1衛,12樓/12樓,無車位,1200,4569ND
［景觀］大自然森林學院大自然森林學院,台北市文山區福興路,34.5年,華廈,44.04,38.85,3房2廳2衛,5樓/6樓,無車位,2288,4739RU
好運開中崙吉祥電梯四房吉祥華廈,台北市松山區南京東路五段,40.8年,華廈,43.84,37.44,4房2廳2衛,3樓/7樓,無車位,3988,9166XD
台北市二樓低總價面花園,台北市北投區大同街,47.9年,公寓,16.73,16.73,2房2廳1衛,2樓/5樓,無車位,998,4485WH
專任華園高樓附坡平車位,台北市大安區仁愛路四段,52.2年,華廈,54.72,39.62,3房2廳2衛1室,5樓/7樓,坡道平面車位,5088,5905ML
南京捷運電梯華廈,台北市松山區寶清街,29.1年,華廈,22.9,9.37,2房2廳1衛(含加蓋2房),5樓/5樓,無車位,1998,5389WR
阿曼學學★高樓兩房阿曼學學,台北市中正區汀州路二段,3.9年,大樓,23.43,13.3,2房2廳1衛,17樓/18樓,無車位,3258,5846FN
生活派對挑高一房車位生活派對,台北市內湖區民權東路六段,22.9年,華廈,23.62,12.36,1房2廳1衛,2樓/8樓,坡道機械車位,1850,3416YP
【ＶＲ】愛眉山莊三房車位愛眉山莊,台北市文山區辛亥路四段,22.1年,大樓,62.23,34.37,3房2廳2衛,7樓/11樓,坡道平面車位,3688,5287DS
靜心學府邊間３房車位景星學苑,台北市文山區景華街,18.1年,華廈,43.64,24.82,3房2廳2衛,2樓/7樓,升降機械車位,3380,6691UN
大直紅點漂亮Ａ９,台北市中山區植福路,1.3年,辦公/大樓,43.16,17.14,1廳,9樓/11樓,坡道平面車位,3780,3595WC
仁愛鑽石面林蔭邊間四房鑽石大廈,台北市大安區仁愛路四段,48.5年,大樓/辦公,48.51,38.51,4房2廳2衛,2樓/12樓,無車位,5880,7346TB
捷運電梯美式風格精品２房友座新生活,台北市內湖區內湖路二段,20.0年,大樓,36.65,25.51,2房2廳1衛1室(含加蓋0.5衛),2樓/12樓,無車位,3110,2494YM
稀有釋出宏盛得意山莊美景宏盛得意山莊-春...,台北市北投區三合街一段,7.4年,華廈,61.73,31.33,3房2廳2衛,4樓/9樓,坡道平面車位,5980,9914TX
【推薦】美堤遼闊視野景觀大直美堤花園-A...,台北市中山區敬業三路,25.3年,大樓,47.1,26.01,3房2廳2衛,12樓/12樓,坡道平面車位,3380,6056SC
信義財經１０１世貿大樓信義財經大廈,台北市信義區信義路四段,35.3年,辦公/大樓,47.88,42.15,2房1廳1衛,9樓/11樓,無車位,5000,4401TX
敦北南京臨路小巨蛋旁店面,台北市松山區南京東路四段,0.8年,店面,18.39,13.44,1廳1衛,1樓/15樓,無車位,5600,5004QJ
✿誠售中正紀念堂捷運宅✿,台北市中正區羅斯福路一段,42.8年,大樓/套房,13.21,9.69,1房1廳1衛,6樓/12樓,無車位,1685,7878TR
經貿精美捷運兩房鉑金苑,台北市南港區經貿二路,11.0年,華廈,35.72,21.38,2房2廳1衛,2樓/10樓,塔式車位,3688,2901XY
昇陽麗芙雙車位昇陽麗芙,台北市北投區同德街,20.6年,華廈,85.57,39.1,3房2廳2衛1室,6樓/7樓,兩個以上車位,5300,8858TQ
鄉林左岸質感三房車位鄉林左岸,台北市士林區延平北路六段,9.4年,大樓,58.38,29.96,3房2廳2衛,3樓/11樓,坡道平面車位,4188,0200JR
