標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
台東長濱鄉千坪農地,台東縣長濱鄉城仔埔段,,土地,1663.75,,,,無車位,880,1954DT,2025-09-30 16:53:56
【知本】鎮樂松園漱夏民宿,台東縣卑南鄉鎮樂,31.2年,別墅/透天,84.43,84.43,4房2廳3衛,1-3樓/3樓,無車位,5,6867TZ,2025-09-30 16:53:56
台東市大面寬商用不動產,台東縣台東市中山路,59.1年,店面,144.44,144.44,1房3廳2.5衛3室(含加蓋1廳),1-2樓/2樓,無車位,9,8227KU,2025-09-30 16:53:56
台東池上土地,台東縣池上鄉中西二路,,土地,34.48,,,,無車位,345,9696SH,2025-09-30 16:53:56
台東池上土地出售,台東縣池上鄉中西二路,,土地,665.09,,,,無車位,6,7077KT,2025-09-30 16:53:56
台東品牌飯店,台東縣台東市大同路,30.9年,其它,1394.31,1243.28,112房104衛,4-9樓/9樓,無車位,36,4035BW,2025-09-30 16:53:56
台東東河農牧用地Ｃ,台東縣東河鄉東富公路,,土地,1282.61,,,,無車位,320,7256GN,2025-09-30 16:53:56
台東東河農牧用地Ｂ,台東縣東河鄉東富公路,,土地,737.64,,,,無車位,147,8430SH,2025-09-30 16:53:56
台東東河農牧用地Ａ,台東縣東河鄉東富公路,,土地,1133.18,,,,無車位,226,1696PH,2025-09-30 16:53:56
陽光免整理公寓,台東縣臺東市鄭州街,42.6年,公寓,33.3,30.95,4房2廳2衛,4樓/4樓,無車位,558,PB03938GH,2025-09-30 16:53:56
台東鹿野51大地坪店面,台東縣鹿野鄉光榮路,35.0年,店面,46.82,46.82,4房2廳2衛,1-2樓/2樓,無車位,890,CS179288HB,2025-09-30 16:53:56
賓朗丙種建地,台東縣卑南鄉0059後湖段,,土地,62.24,,,0樓/0樓,無車位,698,PS112109HB,2025-09-30 16:53:56
【專任】中華路稀有大地坪店住,台東縣臺東市區,51.8年,店面,34.69,34.69,2房2廳1衛,1樓/1樓,無車位,2,PS119304HB,2025-09-30 16:53:56
大鎮商圈金店面【專】,台東縣臺東市中興路二段,29.3年,店面,37.19,31.28,1廳1衛,1樓/9樓,無車位,1,PS120717HB,2025-09-30 16:53:56
戀戀山與海電梯美墅【專任】,台東縣臺東市北安路,9.4年,別墅/透天,108.06,102.94,7房2廳7衛,1-4樓/4樓,其他,2,PS121930HB,2025-09-30 16:53:56
B203成功鎮巷內溫馨宅,台東縣成功鎮芝田路,39.3年,別墅/透天,32.81,32.81,4房2廳5衛,1-2樓/2樓,無車位,580,PS123556HB,2025-09-30 16:53:56
金剛大道旁農地,台東縣長濱鄉長濱,,土地,2639.87,,,0樓/0樓,無車位,1,LS90009HB,2025-09-30 16:53:56
J248金樽黃金浪點資材室農,台東縣東河鄉金樽,,土地,772.4,,,0樓/0樓,無車位,780,LS92991HB,2025-09-30 16:53:56
近車站都計農地,台東縣臺東市興盛路,,土地,756.25,,,0樓/0樓,無車位,2,PB03917GH,2025-09-30 16:53:56
鹿野高台熱氣球土地,台東縣鹿野鄉高台段,,土地,9133.99,,,0樓/0樓,無車位,3,WS54079HB,2025-09-30 16:53:56
台東優質牧場,台東縣臺東市卑南鄉東利路,,土地,3780.95,,,0樓/0樓,無車位,2,XB09311GH,2025-09-30 16:54:03
B081 關山小鎮透天,台東縣關山鎮民生路,44.6年,別墅/透天,28.07,28.07,5房3廳1.5衛,1-2樓/2樓,坡道平面車位,618,LS100916HB,2025-09-30 16:54:03
F156-知本富裕人生建地B,台東縣臺東市富裕路,,土地,146.28,,,0樓/0樓,無車位,1,LS106320HB,2025-09-30 16:54:03
農221 好美和農舍,台東縣太麻里鄉太麻里,35.1年,土地,2789.33,48,,0樓/0樓,無車位,2,PS110165HB,2025-09-30 16:54:03
永樂路集貨場農地,台東縣臺東市區,,土地,465.01,,,0樓/0樓,無車位,1,PS112236HB,2025-09-30 16:54:03
中正路有房建地,台東縣臺東市區,,土地,12.1,,,0樓/0樓,無車位,1,PS118575HB,2025-09-30 16:54:03
漢陽邊間平房,台東縣臺東市區,52.1年,別墅/透天,18.37,18.37,3房2廳1衛,1樓/1樓,無車位,598,PS118651HB,2025-09-30 16:54:03
學區巷內透天A,台東縣臺東市區,48.5年,別墅/透天,27.01,27.01,4房2廳1.5衛,1-2樓/2樓,無車位,700,PS119172HB,2025-09-30 16:54:03
C246開發隊方正5分農舍,台東縣臺東市知本路一段,5.9年,其它,49.05,49.05,6房2廳3衛,1樓/0樓,無車位,3,PS119287HB,2025-09-30 16:54:03
G320鎮樂賞夜景農地,台東縣卑南鄉南鎮樂段,,土地,786.75,,,0樓/0樓,無車位,420,PS119308HB,2025-09-30 16:54:03
C247延平山景環繞休閒農莊,台東縣鹿野鄉昇平路,20.9年,其它,61.49,61.49,2房1廳2衛,1樓/0樓,無車位,1,PS119539HB,2025-09-30 16:54:03
台東市武昌街蛋黃區靜巷美透天,台東縣臺東市武昌街,44.6年,別墅/透天,31.46,31.46,4房3廳2衛,1-2樓/0樓,無車位,798,PS119839HB,2025-09-30 16:54:03
D208更生路全新整理店住,台東縣臺東市更生路,48.3年,別墅/透天,39.02,39.02,3房2廳2衛,-1-2樓/0樓,無車位,1,PS120421HB,2025-09-30 16:54:03
知本火車站前農地A,台東縣臺東市區,,土地,416.93,,,0樓/0樓,無車位,650,LS95553HB,2025-09-30 16:54:03
知本度假套房D公21,台東縣卑南鄉鎮樂路,31.9年,華廈,11.99,8.47,1房1衛,3樓/0樓,無車位,118,PB02567GH,2025-09-30 16:54:03
永安小農地,台東縣鹿野鄉永安路,,土地,334.82,,,0樓/0樓,無車位,280,PB03089GH,2025-09-30 16:54:03
近全聯高投報店面,台東縣臺東市台東段,32.9年,別墅/透天,67.37,64.35,7房1廳8衛,3樓/0樓,無車位,3,PB03216GH,2025-09-30 16:54:03
幸福小平房A透91,台東縣臺東市市區,49.2年,別墅/透天,10.82,10.82,2房2廳1衛,1樓/1樓,無車位,458,PB03905GH,2025-09-30 16:54:03
車站幸福別墅,台東縣臺東市興安路二段,11.9年,別墅/透天,75.27,75.27,7房2廳8衛,1-3樓/3樓,無車位,1,PB04071GH,2025-09-30 16:54:03
知本都內小農地1,台東縣臺東市建華段,,土地,342.68,,,0樓/0樓,無車位,358,PB04240GH,2025-09-30 16:54:03
知本車站農地,台東縣臺東市富榮路,,土地,2060.88,,,0樓/0樓,無車位,3,PB04263GH,2025-09-30 16:54:13
台東藍天山海別墅,台東縣臺東市松江路一段,16.8年,其它,158.32,111.06,6房3廳7衛,1-3樓/3樓,無車位,4,WS58098HB,2025-09-30 16:54:13
強國街稀有雙臨路店住,台東縣臺東市區,54.4年,店面,37.31,37.31,4房6廳3衛,1-2樓/0樓,無車位,1,PS105024HB,2025-09-30 16:54:13
J412隆昌懷舊夏雪農地(B),台東縣東河鄉隆昌,,土地,1059.68,,,0樓/0樓,無車位,823,PS108085HB,2025-09-30 16:54:13
F285長濱街上建地Ａ,台東縣長濱鄉仰光段,,土地,74.63,,,0樓/0樓,無車位,582,PS113653HB,2025-09-30 16:54:13
J452成功一級海景農地,台東縣成功鎮新港段新港小段,,土地,2202.2,,,0樓/0樓,無車位,1,PS113727HB,2025-09-30 16:54:13
B181近運動公園稀有透天,台東縣臺東市豐盛路,52.1年,別墅/透天,14.69,14.69,4房2廳3衛,1樓/0樓,無車位,880,PS117777HB,2025-09-30 16:54:13
A154溫泉靜謐雅致套房,台東縣太麻里鄉太麻里龍泉路,31.7年,套房,14.96,11.38,1房1衛,3樓/0樓,無車位,258,PS120203HB,2025-09-30 16:54:13
新站11房電梯別墅B,台東縣臺東市區,8.2年,別墅/透天,118.42,111.26,11房2廳11衛,1-4樓/4樓,其他,2,PS122841HB,2025-09-30 16:54:13
漢中街店住,台東縣臺東市區,32.2年,店面,66.72,51,3房1廳3.5衛,1-3樓/7樓,無車位,1,PS123265HB,2025-09-30 16:54:13
太平買地送屋,台東縣卑南鄉太平路,,土地,727.94,,,0樓/0樓,無車位,7,PB03435GH,2025-09-30 16:54:13
建和海景全新別墅,台東縣臺東市建和四街,1.3年,別墅/透天,50.23,44.07,5房2廳5衛,1-3樓/3樓,無車位,1,PB03955GH,2025-09-30 16:54:13
商校三角窗金店住A店161,台東縣臺東市市區,48.9年,店面,88.47,88.47,5房2廳3衛,-1-3樓/3樓,無車位,3,PB04340GH,2025-09-30 16:54:13
台東伯朗大道景觀建地,台東縣池上鄉新興,,土地,187.99,,,0樓/0樓,無車位,1,WS59638HB,2025-09-30 16:54:13
車站都內農地,台東縣臺東市區,,土地,310.93,,,0樓/0樓,無車位,298,PS114633HB,2025-09-30 16:54:13
G342利吉2.6分休閒農地,台東縣卑南鄉福德段,,土地,784.05,,,0樓/0樓,無車位,388,PS117145HB,2025-09-30 16:54:13
釋迦園農地B,台東縣臺東市區,,土地,1719.71,,,0樓/0樓,無車位,879,PS119398HB,2025-09-30 16:54:13
透57 豐工前瞻廠房,台東縣臺東市中興路三段,48.2年,廠房,371.32,371.32,,1樓/0樓,無車位,14,PS121318HB,2025-09-30 16:54:13
專任-開發隊1000平方米農地,台東縣臺東市區,,土地,302.5,,,0樓/0樓,無車位,120,PS121597HB,2025-09-30 16:54:13
成功望海望仙忘優農地,台東縣成功鎮宜灣路,,土地,683.03,,,0樓/0樓,無車位,398,LS86567HB,2025-09-30 16:54:13
鹿野瑞和建地,台東縣鹿野鄉瑞興路,,土地,134.04,,,0樓/0樓,無車位,480,PB03720GH,2025-09-30 16:54:22
漢中大道別墅,台東縣臺東市漢中街,28.8年,別墅/透天,73.81,69.32,4房6廳4衛,-1-3樓/0樓,無車位,1,PB03836GH,2025-09-30 16:54:22
