標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
時尚美兩房車位時尚風閣,桃園市蘆竹區奉化路,20.7年,華廈,31.65,16.3,2房1廳1衛,9樓/9樓,坡道平面車位,1,1151LL,2025-10-03 05:06:44
【極上。寓】兩房車位極上寓,桃園市蘆竹區忠孝東路,10.0年,大樓,39.84,18.59,2房2廳1衛,3樓/15樓,坡道平面車位,1,5848QN,2025-10-03 05:06:44
恬靜南望◇景觀四房雙車位墨爾本,桃園市八德區豐德路,11.1年,大樓,59.07,31.23,4房2廳2衛,12樓/15樓,兩個以上車位,1,8011AV,2025-10-03 05:06:44
店長推薦！歡喜城裝潢兩房皇翔歡喜城,桃園市龜山區文青路,10.2年,大樓,42.15,21.81,2房2廳1衛,13樓/19樓,坡道平面車位,1,13575D,2025-10-03 05:06:44
綠意花都機能露臺戶花都,桃園市蘆竹區奉化路,20.7年,大樓,56.12,31.27,4房2廳2衛,3樓/14樓,坡道平面車位,1,35243Y,2025-10-03 05:06:44
法國之星高樓三房車位法國之星,桃園市中壢區環西路二段,14.3年,大樓,35.17,20.45,3房2廳2衛,15樓/15樓,坡道平面車位,1,8425NM,2025-10-03 05:06:44
【優選】大慶蓮莊三房車位大慶蓮莊,桃園市龜山區萬壽路一段,30.7年,大樓,49.87,34.35,3房2廳2衛,12樓/19樓,坡道平面車位,1,6210TN,2025-10-03 05:06:44
桃園低總價景觀美宅,桃園市龍潭區民強街,27.5年,大樓,14.87,10.17,1房1衛,8樓/14樓,無車位,320,7583QQ,2025-10-03 05:06:44
先看這間三房車位裝潢美宅市政潤隆,桃園市桃園區法院後街,5.4年,大樓,42.25,20.58,3房2廳2衛,3樓/12樓,坡道平面車位,1,1360KU,2025-10-03 05:06:44
中壢鼎藏晶華兩房車位鼎藏晶華2期,桃園市中壢區興仁路二段,12.4年,大樓,36.48,19.15,2房2廳1衛,5樓/12樓,坡道平面車位,1,2109VM,2025-10-03 05:06:44
昭揚首選◆天御河岸美宅昭揚天御,桃園市桃園區中央街,1.3年,大樓,80.87,44.77,4房2廳3衛,12樓/15樓,兩個以上車位,3,9452TH,2025-10-03 05:06:44
藝文特區中國江山溫馨２房中國江山,桃園市桃園區瑞慶路,31.0年,大樓,24.31,20,2房2廳1衛,16樓/17樓,無車位,868,0479SL,2025-10-03 05:06:44
博愛美學視野三房車位７,桃園市中壢區博愛二路,5.5年,華廈,44.7,25.1,3房2廳2衛,7樓/7樓,塔式車位,1,9626YB,2025-10-03 05:06:44
竹風鳳凰頂樓尊榮露臺戶竹風鳳凰Ｉ,桃園市八德區建德路,11.4年,大樓,96.3,53.63,3房2廳2衛2室(含加蓋1室),14樓/14樓,兩個以上車位,3,97414F,2025-10-03 05:06:44
公園旁精美兩房蘋果村,桃園市桃園區新埔十街,31.8年,華廈,27.31,18.78,2房2廳1衛,2樓/7樓,無車位,890,1181PX,2025-10-03 05:06:44
南勢築巢Ｚ世代三房車位巢世代,桃園市平鎮區開封街,14.0年,大樓,46.11,24.55,3房2廳2衛,3樓/13樓,坡道平面車位,998,4145TM,2025-10-03 05:06:44
衛浴開窗紐約大時代美屋紐約大時代,桃園市桃園區大興西路二段,14.6年,大樓,49.33,26.84,3房2廳2衛,2樓/15樓,坡道平面車位,1,7505FU,2025-10-03 05:06:44
