標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
山嶼海●面龜山島溫泉美宅,宜蘭縣頭城鎮河堤路,6.7年,大樓,25.61,13.79,1房1廳1衛,9樓/15樓,無車位,958,9530DF,2025-09-25 03:57:20
礁溪凱悅二期溫泉套房,宜蘭縣礁溪鄉大忠路,19.0年,套房,21.39,13.25,1房1廳1衛,3樓/14樓,無車位,698,7843LQ,2025-09-25 03:57:20
️羅運瑪丁尼茲豪邸,宜蘭縣羅東鎮四維路,10.0年,華廈,115.68,73.99,4房2廳5衛,1樓/4樓,兩個以上車位,3,2505WJ,2025-09-25 03:57:20
羅運瑪丁尼茲雙車位,宜蘭縣羅東鎮四維路,10.0年,華廈,82.29,51.02,3房2廳3衛,1樓/4樓,兩個以上車位,2,2936QD,2025-09-25 03:57:20
烏石港段超方正美地,宜蘭縣頭城鎮烏石港段,,土地,243.88,,,,無車位,4,32134U,2025-09-25 03:57:20
近榮總員山分院土地,宜蘭縣員山鄉榮光路,,土地,81.11,,,,無車位,648,99610C,2025-09-25 03:57:20
⭐羅運瑪丁尼茲豪宅別墅,宜蘭縣羅東鎮四維路,10.0年,透天,142.52,75.96,5房2廳5衛1室(含加蓋1房),B1-4樓/4樓,兩個以上車位,4,9699VK,2025-09-25 03:57:20
宜蘭松柏居馥,宜蘭縣三星鄉農義路二段,20.3年,其它,75.09,75.09,6房3廳5衛,1-3樓/3樓,無車位,2,8194PW,2025-09-25 03:57:20
嵐峰路靜巷典雅舒適透天,宜蘭縣宜蘭市嵐峰路一段,37.3年,透天,44.44,40.03,5房2廳2衛1室(含加蓋2房1衛1室),1-2樓/2樓,無車位,1,0235RS,2025-09-25 03:57:20
大面積都市土地挑高美式宅,宜蘭縣五結鄉三結五路,16.9年,其它,98.25,96.34,6房5廳5衛,1-4樓/4樓,無車位,3,7977YW,2025-09-25 03:57:20
宜蘭壯圍優質農舍,宜蘭縣壯圍鄉吉安路,19.0年,其它,126.09,126.09,2廳4衛,1-2樓/2樓,無車位,2,2727GQ,2025-09-25 03:57:20
ＳｐａｉｎＭａｎｓｉｏｎ,宜蘭縣冬山鄉光華二路,17.6年,別墅/透天/其它,90.54,90.54,7房2廳11衛(含加蓋2房5衛),1-2樓/2樓,無車位,7,6754XY,2025-09-25 03:57:20
宜蘭－築米美學智慧宅,宜蘭縣壯圍鄉永美路二段,3.3年,華廈,22.61,20.13,3房1廳1衛,2樓/4樓,無車位,968,1191QN,2025-09-25 03:57:20
低總價首富兩房,宜蘭縣冬山鄉龍祥三路,2.7年,華廈/其它,19.33,13.72,2房1廳1衛,3樓/5樓,無車位,488,6923PY,2025-09-25 03:57:20
面北成校園黃金傳世透天,宜蘭縣羅東鎮敬業路,19.4年,店面/透天,115.71,83.56,8房3廳4.5衛5室(含加蓋2房1廳0.5衛2室),1-3樓/3樓,無車位,4,77913Y,2025-09-25 03:57:20
