縣市,行政區,113年第四季,113年第三季,113年第二季,113年第一季,112年第四季,112年第三季,112年第二季,112年第一季,111年第四季,111年第三季,111年第二季,111年第一季,110年第四季,110年第三季,110年第二季,110年第一季,109年第四季,109年第三季,109年第二季,109年第一季,108年第四季,108年第三季,108年第二季,108年第一季,107年第四季,107年第三季,107年第二季,107年第一季,106年第四季,106年第三季,106年第二季,106年第一季,105年第四季,105年第三季,105年第二季,105年第一季,104年第四季,104年第三季,104年第二季,104年第一季,103年第四季,103年第三季,103年第二季,103年第一季,102年第四季,102年第三季,102年第二季,102年第一季,101年第四季,101年第三季,101年第二季,101年第一季
新北市,新北市,4047001,4047001,4047001,4047001,4041120,4041120,4041120,4041120,3995551,3995551,3995551,3995551,4008113,4008113,4008113,4008113,4030954,4030954,4030954,4030954,4018696,4018696,4018696,4018696,3995717,3995717,3995717,3995717,3986689,3986689,3986689,3986689,3979208,3979208,3979208,3979208,3970644,3970644,3970644,3970644,3966818,3966818,3966818,3966818,3954929,3954929,3954929,3954929,3939305,3939305,3939305,3939305
新北市,板橋區,553538,553538,553538,553538,554247,554247,554247,554247,549572,549572,549572,549572,552713,552713,552713,552713,557114,557114,557114,557114,556897,556897,556897,556897,554742,554742,554742,554742,551480,551480,551480,551480,552285,552285,552285,552285,554236,554236,554236,554236,555914,555914,555914,555914,556920,556920,556920,556920,557440,557440,557440,557440
新北市,三重區,383355,383355,383355,383355,383108,383108,383108,383108,379825,379825,379825,379825,381731,381731,381731,381731,385328,385328,385328,385328,386336,386336,386336,386336,385826,385826,385826,385826,387484,387484,387484,387484,388581,388581,388581,388581,388447,388447,388447,388447,389325,389325,389325,389325,389813,389813,389813,389813,390090,390090,390090,390090
新北市,中和區,405956,405956,405956,405956,407273,407273,407273,407273,403109,403109,403109,403109,406140,406140,406140,406140,411214,411214,411214,411214,413069,413069,413069,413069,412486,412486,412486,412486,413590,413590,413590,413590,414266,414266,414266,414266,414304,414304,414304,414304,415226,415226,415226,415226,415742,415742,415742,415742,416499,416499,416499,416499
新北市,永和區,213742,213742,213742,213742,214771,214771,214771,214771,212170,212170,212170,212170,214967,214967,214967,214967,219364,219364,219364,219364,220595,220595,220595,220595,221098,221098,221098,221098,222585,222585,222585,222585,223999,223999,223999,223999,225409,225409,225409,225409,227267,227267,227267,227267,229062,229062,229062,229062,230768,230768,230768,230768
新北市,新莊區,423503,423503,423503,423503,423607,423607,423607,423607,419966,419966,419966,419966,421381,421381,421381,421381,422653,422653,422653,422653,420473,420473,420473,420473,417754,417754,417754,417754,416524,416524,416524,416524,414156,414156,414156,414156,413243,413243,413243,413243,411711,411711,411711,411711,409760,409760,409760,409760,407012,407012,407012,407012
新北市,新店區,306571,306571,306571,306571,304868,304868,304868,304868,298594,298594,298594,298594,299696,299696,299696,299696,303532,303532,303532,303532,303445,303445,303445,303445,302231,302231,302231,302231,302089,302089,302089,302089,301168,301168,301168,301168,300267,300267,300267,300267,299730,299730,299730,299730,299017,299017,299017,299017,297637,297637,297637,297637
新北市,樹林區,178981,178981,178981,178981,180658,180658,180658,180658,180067,180067,180067,180067,181903,181903,181903,181903,183470,183470,183470,183470,183926,183926,183926,183926,183946,183946,183946,183946,184149,184149,184149,184149,184400,184400,184400,184400,184249,184249,184249,184249,184167,184167,184167,184167,183407,183407,183407,183407,182012,182012,182012,182012
新北市,鶯歌區,89339,89339,89339,89339,89080,89080,89080,89080,88406,88406,88406,88406,88131,88131,88131,88131,87674,87674,87674,87674,86869,86869,86869,86869,86361,86361,86361,86361,86593,86593,86593,86593,87231,87231,87231,87231,87965,87965,87965,87965,89075,89075,89075,89075,88637,88637,88637,88637,88336,88336,88336,88336
新北市,三峽區,115335,115335,115335,115335,115608,115608,115608,115608,115274,115274,115274,115274,116019,116019,116019,116019,116917,116917,116917,116917,116478,116478,116478,116478,115820,115820,115820,115820,114926,114926,114926,114926,114180,114180,114180,114180,112708,112708,112708,112708,111588,111588,111588,111588,110010,110010,110010,110010,107794,107794,107794,107794
