縣市,行政區,BUILD,平均單價元平方公尺,交易筆數,季度
南投縣,南投市,中古屋,34617.14,98,108年第四季
南投縣,南投市,新成屋,54885.96,25,108年第四季
南投縣,名間鄉,中古屋,38367.0,3,108年第四季
南投縣,國姓鄉,中古屋,15638.0,1,108年第四季
南投縣,埔里鎮,中古屋,39388.86,57,108年第四季
南投縣,埔里鎮,新成屋,55061.5,2,108年第四季
南投縣,水里鄉,中古屋,25948.0,4,108年第四季
南投縣,竹山鎮,中古屋,24163.42,31,108年第四季
南投縣,竹山鎮,新成屋,40128.6,10,108年第四季
南投縣,草屯鎮,中古屋,38131.54,76,108年第四季
南投縣,草屯鎮,新成屋,66269.89,38,108年第四季
南投縣,集集鎮,中古屋,29479.33,3,108年第四季
南投縣,魚池鄉,中古屋,24469.0,2,108年第四季
南投縣,鹿谷鄉,中古屋,35585.75,4,108年第四季
台中市,中區,中古屋,43158.95,19,108年第四季
台中市,北區,中古屋,50433.17,1122,108年第四季
台中市,北區,新成屋,85983.47,66,108年第四季
台中市,北屯區,中古屋,54198.82,1430,108年第四季
台中市,北屯區,新成屋,63447.96,704,108年第四季
台中市,南區,中古屋,50464.12,879,108年第四季
台中市,南區,新成屋,55160.35,150,108年第四季
台中市,南屯區,中古屋,66070.03,1102,108年第四季
台中市,南屯區,新成屋,88789.83,422,108年第四季
台中市,后里區,中古屋,46846.76,21,108年第四季
台中市,后里區,新成屋,80384.72,18,108年第四季
台中市,外埔區,中古屋,45211.8,5,108年第四季
台中市,外埔區,新成屋,49193.0,2,108年第四季
台中市,大甲區,中古屋,41128.81,31,108年第四季
台中市,大甲區,新成屋,57282.88,8,108年第四季
台中市,大肚區,中古屋,37234.62,32,108年第四季
台中市,大肚區,新成屋,48560.67,3,108年第四季
台中市,大里區,中古屋,45185.03,379,108年第四季
台中市,大里區,新成屋,68241.23,111,108年第四季
台中市,大雅區,中古屋,41995.77,167,108年第四季
台中市,大雅區,新成屋,59374.03,59,108年第四季
台中市,太平區,中古屋,49389.37,414,108年第四季
台中市,太平區,新成屋,60370.91,176,108年第四季
台中市,新社區,中古屋,37994.0,2,108年第四季
台中市,新社區,新成屋,55528.0,1,108年第四季
台中市,東勢區,中古屋,35137.77,30,108年第四季
台中市,東勢區,新成屋,44476.0,4,108年第四季
台中市,東區,中古屋,46010.52,213,108年第四季
台中市,東區,新成屋,57599.11,62,108年第四季
台中市,梧棲區,中古屋,32955.55,53,108年第四季
台中市,梧棲區,新成屋,55001.74,47,108年第四季
台中市,沙鹿區,中古屋,46784.49,193,108年第四季
台中市,沙鹿區,新成屋,66149.76,97,108年第四季
台中市,清水區,中古屋,37784.24,46,108年第四季
台中市,清水區,新成屋,50394.32,44,108年第四季
台中市,潭子區,中古屋,49604.97,271,108年第四季
台中市,潭子區,新成屋,61191.19,43,108年第四季
台中市,烏日區,中古屋,50444.02,133,108年第四季
台中市,烏日區,新成屋,45673.09,113,108年第四季
台中市,石岡區,中古屋,25941.5,2,108年第四季
台中市,神岡區,中古屋,41315.96,48,108年第四季
台中市,神岡區,新成屋,78578.17,12,108年第四季
台中市,西區,中古屋,52870.29,787,108年第四季
台中市,西區,新成屋,100738.21,28,108年第四季
台中市,西屯區,中古屋,60861.64,1616,108年第四季
台中市,西屯區,新成屋,88147.86,281,108年第四季
台中市,豐原區,中古屋,50855.72,148,108年第四季
台中市,豐原區,新成屋,64260.14,49,108年第四季
台中市,霧峰區,中古屋,45873.89,37,108年第四季
台中市,霧峰區,新成屋,61105.0,4,108年第四季
台中市,龍井區,中古屋,40270.19,140,108年第四季
台中市,龍井區,新成屋,55800.16,19,108年第四季
台北市,中山區,中古屋,140810.18,650,108年第四季
台北市,中山區,新成屋,227454.38,85,108年第四季
台北市,中正區,中古屋,166531.75,295,108年第四季
台北市,中正區,新成屋,150179.25,52,108年第四季
台北市,信義區,中古屋,145414.74,520,108年第四季
台北市,信義區,新成屋,275114.66,122,108年第四季
台北市,內湖區,中古屋,136162.77,1186,108年第四季
台北市,內湖區,新成屋,163875.22,206,108年第四季
台北市,北投區,中古屋,105507.86,675,108年第四季
台北市,北投區,新成屋,150799.48,223,108年第四季
台北市,南港區,中古屋,139930.56,418,108年第四季
台北市,南港區,新成屋,165246.05,40,108年第四季
台北市,士林區,中古屋,116867.65,783,108年第四季
台北市,士林區,新成屋,193707.21,76,108年第四季
台北市,大同區,中古屋,121324.62,146,108年第四季
台北市,大同區,新成屋,160075.75,68,108年第四季
台北市,大安區,中古屋,191630.27,594,108年第四季
台北市,大安區,新成屋,197396.52,81,108年第四季
台北市,文山區,中古屋,121444.01,726,108年第四季
台北市,文山區,新成屋,157478.05,162,108年第四季
台北市,松山區,中古屋,157716.19,531,108年第四季
台北市,松山區,新成屋,191424.8,10,108年第四季
台北市,萬華區,中古屋,107733.77,271,108年第四季
台北市,萬華區,新成屋,126908.51,35,108年第四季
台南市,下營區,中古屋,12687.17,6,108年第四季
台南市,下營區,新成屋,35416.0,2,108年第四季
台南市,中西區,中古屋,43239.85,225,108年第四季
台南市,中西區,新成屋,63744.7,96,108年第四季
台南市,仁德區,中古屋,35091.32,210,108年第四季
台南市,仁德區,新成屋,67856.71,24,108年第四季
台南市,佳里區,中古屋,30845.26,31,108年第四季
台南市,佳里區,新成屋,54294.94,18,108年第四季
台南市,六甲區,中古屋,28458.5,2,108年第四季
台南市,北區,中古屋,44366.98,529,108年第四季
台南市,北區,新成屋,72347.06,33,108年第四季
台南市,南區,中古屋,33954.49,367,108年第四季
台南市,南區,新成屋,46364.24,117,108年第四季
台南市,善化區,中古屋,35460.31,39,108年第四季
台南市,善化區,新成屋,48486.75,103,108年第四季
台南市,學甲區,中古屋,13708.96,26,108年第四季
台南市,學甲區,新成屋,42107.6,10,108年第四季
台南市,安南區,中古屋,35366.55,377,108年第四季
台南市,安南區,新成屋,60835.4,73,108年第四季
台南市,安定區,中古屋,33765.0,2,108年第四季
台南市,安定區,新成屋,50705.5,2,108年第四季
台南市,安平區,中古屋,38289.76,441,108年第四季
台南市,安平區,新成屋,69090.84,55,108年第四季
台南市,官田區,中古屋,17543.4,5,108年第四季
台南市,官田區,新成屋,33844.0,3,108年第四季
台南市,將軍區,中古屋,26595.0,1,108年第四季
台南市,將軍區,新成屋,41181.33,3,108年第四季
台南市,山上區,新成屋,41224.0,1,108年第四季
台南市,後壁區,中古屋,13652.33,3,108年第四季
台南市,新化區,中古屋,32126.62,13,108年第四季
