113,,112,,111,,110,,109,,108,,107,,106,,105,,104,,103,,102,,101,
區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 ,區　域　別, 年底人口數 
總　　計　,"23,400,220",總　　計　,"23,420,442",總　　計　,"23,264,640",總　　計　,"23,375,314",總　　計　,"23,561,236",總　　計　,"23,603,121",總　　計　,"23,588,932",總　　計　,"23,571,227",總　　計　,"23,539,816",總　　計　,"23,492,074",總　　計　,"23,433,753",總　　計　,"23,373,517",總　　計　,"23,315,822"
新  北  市　,"4,047,001",新  北  市　,"4,041,120",新  北  市　,"3,995,551",新  北  市　,"4,008,113",新  北  市　,"4,030,954",新  北  市　,"4,018,696",新  北  市　,"3,995,717",新  北  市　,"3,986,689",新  北  市　,"3,979,208",新  北  市　,"3,970,644",新  北  市　,"3,966,818",新  北  市　,"3,954,929",新  北  市　,"3,939,305"
　板橋區　,"553,538",　板橋區　,"554,247",　板橋區　,"549,572",　板橋區　,"552,713",　板橋區　,"557,114",　板橋區　,"556,897",　板橋區　,"554,742",　板橋區　,"551,480",　板橋區　,"552,285",　板橋區　,"554,236",　板橋區　,"555,914",　板橋區　,"556,920",　板橋區　,"557,440"
　三重區　,"383,355",　三重區　,"383,108",　三重區　,"379,825",　三重區　,"381,731",　三重區　,"385,328",　三重區　,"386,336",　三重區　,"385,826",　三重區　,"387,484",　三重區　,"388,581",　三重區　,"388,447",　三重區　,"389,325",　三重區　,"389,813",　三重區　,"390,090"
　中和區　,"405,956",　中和區　,"407,273",　中和區　,"403,109",　中和區　,"406,140",　中和區　,"411,214",　中和區　,"413,069",　中和區　,"412,486",　中和區　,"413,590",　中和區　,"414,266",　中和區　,"414,304",　中和區　,"415,226",　中和區　,"415,742",　中和區　,"416,499"
　永和區　,"213,742",　永和區　,"214,771",　永和區　,"212,170",　永和區　,"214,967",　永和區　,"219,364",　永和區　,"220,595",　永和區　,"221,098",　永和區　,"222,585",　永和區　,"223,999",　永和區　,"225,409",　永和區　,"227,267",　永和區　,"229,062",　永和區　,"230,768"
　新莊區　,"423,503",　新莊區　,"423,607",　新莊區　,"419,966",　新莊區　,"421,381",　新莊區　,"422,653",　新莊區　,"420,473",　新莊區　,"417,754",　新莊區　,"416,524",　新莊區　,"414,156",　新莊區　,"413,243",　新莊區　,"411,711",　新莊區　,"409,760",　新莊區　,"407,012"
　新店區　,"306,571",　新店區　,"304,868",　新店區　,"298,594",　新店區　,"299,696",　新店區　,"303,532",　新店區　,"303,445",　新店區　,"302,231",　新店區　,"302,089",　新店區　,"301,168",　新店區　,"300,267",　新店區　,"299,730",　新店區　,"299,017",　新店區　,"297,637"
　樹林區　,"178,981",　樹林區　,"180,658",　樹林區　,"180,067",　樹林區　,"181,903",　樹林區　,"183,470",　樹林區　,"183,926",　樹林區　,"183,946",　樹林區　,"184,149",　樹林區　,"184,400",　樹林區　,"184,249",　樹林區　,"184,167",　樹林區　,"183,407",　樹林區　,"182,012"
　鶯歌區　,"89,339",　鶯歌區　,"89,080",　鶯歌區　,"88,406",　鶯歌區　,"88,131",　鶯歌區　,"87,674",　鶯歌區　,"86,869",　鶯歌區　,"86,361",　鶯歌區　,"86,593",　鶯歌區　,"87,231",　鶯歌區　,"87,965",　鶯歌區　,"89,075",　鶯歌區　,"88,637",　鶯歌區　,"88,336"
　三峽區　,"115,335",　三峽區　,"115,608",　三峽區　,"115,274",　三峽區　,"116,019",　三峽區　,"116,917",　三峽區　,"116,478",　三峽區　,"115,820",　三峽區　,"114,926",　三峽區　,"114,180",　三峽區　,"112,708",　三峽區　,"111,588",　三峽區　,"110,010",　三峽區　,"107,794"
　淡水區　,"200,726",　淡水區　,"194,399",　淡水區　,"187,823",　淡水區　,"185,197",　淡水區　,"183,278",　淡水區　,"178,610",　淡水區　,"173,502",　淡水區　,"169,597",　淡水區　,"165,765",　淡水區　,"162,221",　淡水區　,"158,953",　淡水區　,"155,241",　淡水區　,"150,687"
　汐止區　,"210,817",　汐止區　,"209,481",　汐止區　,"206,265",　汐止區　,"205,990",　汐止區　,"205,847",　汐止區　,"203,429",　汐止區　,"200,535",　汐止區　,"199,321",　汐止區　,"197,749",　汐止區　,"196,028",　汐止區　,"195,140",　汐止區　,"194,200",　汐止區　,"192,676"
　瑞芳區　,"36,330",　瑞芳區　,"37,197",　瑞芳區　,"37,695",　瑞芳區　,"38,449",　瑞芳區　,"39,077",　瑞芳區　,"39,536",　瑞芳區　,"39,982",　瑞芳區　,"40,353",　瑞芳區　,"40,600",　瑞芳區　,"40,976",　瑞芳區　,"41,315",　瑞芳區　,"41,490",　瑞芳區　,"41,617"
　土城區　,"241,224",　土城區　,"240,828",　土城區　,"237,538",　土城區　,"237,484",　土城區　,"238,277",　土城區　,"237,696",　土城區　,"236,901",　土城區　,"238,067",　土城區　,"238,500",　土城區　,"238,703",　土城區　,"239,270",　土城區　,"239,258",　土城區　,"239,717"
　蘆洲區　,"198,359",　蘆洲區　,"200,022",　蘆洲區　,"199,811",　蘆洲區　,"201,489",　蘆洲區　,"202,456",　蘆洲區　,"201,883",　蘆洲區　,"201,332",　蘆洲區　,"201,309",　蘆洲區　,"200,702",　蘆洲區　,"200,095",　蘆洲區　,"199,750",　蘆洲區　,"199,426",　蘆洲區　,"199,490"
　五股區　,"93,860",　五股區　,"92,754",　五股區　,"91,436",　五股區　,"90,465",　五股區　,"89,470",　五股區　,"88,000",　五股區　,"86,329",　五股區　,"84,919",　五股區　,"84,134",　五股區　,"82,923",　五股區　,"82,255",　五股區　,"81,744",　五股區　,"81,225"
　泰山區　,"77,667",　泰山區　,"77,491",　泰山區　,"76,982",　泰山區　,"77,451",　泰山區　,"78,412",　泰山區　,"78,751",　泰山區　,"78,708",　泰山區　,"78,911",　泰山區　,"78,817",　泰山區　,"78,707",　泰山區　,"78,370",　泰山區　,"77,939",　泰山區　,"77,617"
　林口區　,"136,075",　林口區　,"132,947",　林口區　,"127,887",　林口區　,"124,628",　林口區　,"121,192",　林口區　,"115,582",　林口區　,"110,081",　林口區　,"106,101",　林口區　,"103,219",　林口區　,"100,350",　林口區　,"97,645",　林口區　,"94,108",　林口區　,"89,886"
　深坑區　,"23,636",　深坑區　,"23,689",　深坑區　,"23,528",　深坑區　,"23,646",　深坑區　,"23,723",　深坑區　,"23,725",　深坑區　,"23,634",　深坑區　,"23,660",　深坑區　,"23,683",　深坑區　,"23,594",　深坑區　,"23,636",　深坑區　,"23,622",　深坑區　,"23,569"
　石碇區　,"7,068",　石碇區　,"7,166",　石碇區　,"7,292",　石碇區　,"7,487",　石碇區　,"7,565",　石碇區　,"7,629",　石碇區　,"7,731",　石碇區　,"7,683",　石碇區　,"7,736",　石碇區　,"7,855",　石碇區　,"7,864",　石碇區　,"7,848",　石碇區　,"7,895"
　坪林區　,"6,324",　坪林區　,"6,446",　坪林區　,"6,553",　坪林區　,"6,619",　坪林區　,"6,703",　坪林區　,"6,689",　坪林區　,"6,612",　坪林區　,"6,528",　坪林區　,"6,538",　坪林區　,"6,490",　坪林區　,"6,455",　坪林區　,"6,460",　坪林區　,"6,483"
　三芝區　,"22,080",　三芝區　,"22,137",　三芝區　,"22,228",　三芝區　,"22,357",　三芝區　,"22,540",　三芝區　,"22,768",　三芝區　,"22,978",　三芝區　,"23,200",　三芝區　,"23,369",　三芝區　,"23,487",　三芝區　,"23,480",　三芝區　,"23,464",　三芝區　,"23,460"
　石門區　,"10,397",　石門區　,"10,752",　石門區　,"10,961",　石門區　,"11,193",　石門區　,"11,480",　石門區　,"11,834",　石門區　,"12,115",　石門區　,"12,286",　石門區　,"12,496",　石門區　,"12,641",　石門區　,"12,733",　石門區　,"12,794",　石門區　,"12,798"
　八里區　,"42,674",　八里區　,"41,966",　八里區　,"40,902",　八里區　,"40,178",　八里區　,"39,741",　八里區　,"39,531",　八里區　,"38,906",　八里區　,"38,493",　八里區　,"38,167",　八里區　,"37,678",　八里區　,"37,187",　八里區　,"36,201",　八里區　,"35,721"
　平溪區　,"4,049",　平溪區　,"4,134",　平溪區　,"4,268",　平溪區　,"4,333",　平溪區　,"4,424",　平溪區　,"4,546",　平溪區　,"4,666",　平溪區　,"4,719",　平溪區　,"4,778",　平溪區　,"4,874",　平溪區　,"4,954",　平溪區　,"5,002",　平溪區　,"5,109"
　雙溪區　,"7,686",　雙溪區　,"7,915",　雙溪區　,"8,102",　雙溪區　,"8,235",　雙溪區　,"8,468",　雙溪區　,"8,665",　雙溪區　,"8,860",　雙溪區　,"8,939",　雙溪區　,"9,074",　雙溪區　,"9,245",　雙溪區　,"9,450",　雙溪區　,"9,412",　雙溪區　,"9,465"
