鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大安區,土地,新南埔段373地號,2737.23,,特定農業區,農牧用地,1140301,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4927000,1800,,0.0,0,,RPQNMLRJLHKGFEB08EA,0.0,0.0,0.0,無,
大甲區,土地,幼獅段453-2地號,77.0,,工業區,丁種建築用地,1140205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,51948,,0.0,0,,RPRNMLSJKHKGFEB08DA,0.0,0.0,0.0,無,
南區,房地(土地+建物),臺中市南區復興北路１６８號三樓之一,24.29,住,,,1140201,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830620,126.78,2,2,2,有,無,6180000,48746,,0.0,0,買回親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLJKHKGFAB76DA,104.15,3.66,3.08,有,00001
霧峰區,土地,北柳南段506-1地號,520.0,,特定農業區,農牧用地,1140203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,1923,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPTNMLNJKHKGFIB18DA,0.0,0.0,0.0,無,
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段７８９號十六樓之２,16.87,商,,,1140204,土地1建物1車位2,十六層,二十九層,住宅大樓(11層含以上有電梯),辦公用,鋼骨鋼筋混凝土造、鋼筋混凝土造,1120327,306.15999999999997,0,0,0,無,有,32000000,104521,坡道平面,48.06,0,,RPTNMLPJKHKGFCB77DA,149.83,7.61,0.0,有,00002
西屯區,房地(土地+建物),臺中市西屯區福上巷２４３號四樓之１３,3.54,住,,,1140205,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780524,20.259999999999998,1,0,1,有,有,800000,39487,,0.0,0,,RPQOMLQJKHKGFCB67DA,12.96,0.0,2.98,無,
清水區,土地,武秀段1032-18地號,44.0,,,,1140205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1170000,26591,,0.0,0,綠地包含公共設施保留地用地；,RPPOMLLKKHKGFFB47DA,0.0,0.0,0.0,無,
龍井區,土地,龍新段659地號,12.0,都市：其他:保護區,,,1140206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,39820,3318,,0.0,0,,RPVNMLLKKHKGFKB48DA,0.0,0.0,0.0,無,
北區,土地,文正段98-12地號,11.5,,,,1140206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,741000,64435,,0.0,0,,RPOOMLSJKHKGFBB57DA,0.0,0.0,0.0,無,00003
